,V1,V2
suture_start,259,687
curveLM.3,258,685.3007723
curveLM.4,257,683.6015445
curveLM.5,256,682.4881032
curveLM.6,256,680.3746619
curveLM.7,257.2295027,678.7704973
curveLM.8,258.0168246,676.9831754
curveLM.9,259,675.2769786
curveLM.10,259.5914684,673.4085316
curveLM.11,260,671.4643096
curveLM.12,260,669.3508683
curveLM.13,260,667.2374269
curveLM.14,260,665.1239856
curveLM.15,260,663.0105443
curveLM.16,260,660.897103
curveLM.17,260,658.7836617
curveLM.18,260,656.6702204
curveLM.19,260,654.5567791
curveLM.20,260.3936196,652.6063804
curveLM.21,261.1809415,650.8190585
curveLM.22,262,649.0448823
curveLM.23,263,647.3456545
curveLM.24,264,645.6464268
curveLM.25,265,644.5329855
curveLM.26,264,642.8337577
curveLM.27,263,641.7203164
curveLM.28,262.0149119,640.0149119
curveLM.29,261,638.3218609
curveLM.30,260,636.6226331
curveLM.31,259,635.5091918
curveLM.32,258,633.8099641
curveLM.33,257.0783024,632.0783024
curveLM.34,257.7090195,630.2909805
curveLM.35,258,628.2980673
curveLM.36,258,626.184626
curveLM.37,259,624.4853982
curveLM.38,259,622.3719569
curveLM.39,260,620.6727292
curveLM.40,260,618.5592878
curveLM.41,261,616.8600601
curveLM.42,261,614.7466188
curveLM.43,261.2593827,612.7406173
curveLM.44,262,610.9339497
curveLM.45,262,608.8205084
curveLM.46,262,606.7070671
curveLM.47,262.9944567,605.0055433
curveLM.48,263,602.894398
curveLM.49,263.154887,600.845113
curveLM.50,264,599.081729
curveLM.51,264.7295308,597.2704692
curveLM.52,265.5168527,595.4831473
curveLM.53,266.3041746,593.6958254
curveLM.54,267.0914965,591.9085035
curveLM.55,268,590.1713767
curveLM.56,269,589.0579354
curveLM.57,268,587.3587076
curveLM.58,268,585.2452663
curveLM.59,268,583.131825
curveLM.60,268,581.0183837
curveLM.61,268,578.9049424
curveLM.62,268.8545378,577.1454622
curveLM.63,269,575.0922733
curveLM.64,270,573.3930456
curveLM.65,270.5093967,571.4906033
curveLM.66,271,569.5803765
curveLM.67,272,567.8811487
curveLM.68,272.8713624,566.1286376
curveLM.69,273.6586843,564.3413157
curveLM.70,274.4460062,562.5539938
curveLM.71,275.3299758,561
curveLM.72,276.4434171,560
curveLM.73,278.1008652,558.8991348
curveLM.74,279.5952938,557.4047062
curveLM.75,281.0897225,555.9102775
curveLM.76,282,554.1738854
curveLM.77,282.6643663,552.3356337
curveLM.78,283.4516882,550.5483118
curveLM.79,284,548.6619886
curveLM.80,284.4514527,547
curveLM.81,285,545.435106
curveLM.82,286,544.3216647
curveLM.83,286.7917766,543
curveLM.84,287.9052179,542
curveLM.85,289.0186592,541
curveLM.86,291.0934092,540.9065908
curveLM.87,292.8313283,540
curveLM.88,294.9447696,540
curveLM.89,296.7482681,539.2517319
curveLM.90,298.7574387,539
curveLM.91,300.87088,539
curveLM.92,302.9843213,539
curveLM.93,305.0691286,538.9308714
curveLM.94,306.7969904,538
curveLM.95,308.4962181,537
curveLM.96,310.1954459,536
curveLM.97,312.3088872,536
curveLM.98,314.2986313,535.7013687
curveLM.99,316.1215562,535
curveLM.100,318.2349975,535
curveLM.101,320.3484388,535
curveLM.102,322.0476666,534
curveLM.103,324.1611079,534
curveLM.104,326.2745492,534
curveLM.105,327.9814575,534.9814575
curveLM.106,330.0872183,535
