,V1,V2
suture_start,1442,121
curveLM.3,1442,122.4258163
curveLM.4,1442.602195,123.6021952
curveLM.5,1443,124.8632353
curveLM.6,1443,126.2890516
curveLM.7,1443,127.7148678
curveLM.8,1443.806585,128.8065855
curveLM.9,1444,130.1522868
curveLM.10,1444,131.5781031
curveLM.11,1444.709878,132.7098782
curveLM.12,1445,134.0155221
curveLM.13,1445,135.4413384
curveLM.14,1445.867155,136
curveLM.15,1446,137.2929709
curveLM.16,1446,138.7187872
curveLM.17,1446.10225,140.1022501
curveLM.18,1447,141.1562062
curveLM.19,1447,142.5820225
curveLM.20,1447,144.0078388
curveLM.21,1447,145.433655
curveLM.22,1447,146.8594713
curveLM.23,1446.798271,148.2017288
curveLM.24,1446,149.2968903
curveLM.25,1446,150.7227066
curveLM.26,1446.812128,151.8121283
curveLM.27,1447.820333,152.8203327
curveLM.28,1448.12143,154.1214302
curveLM.29,1449,155.183331
curveLM.30,1449,156.6091473
curveLM.31,1449,158.0349636
curveLM.32,1449,159.4607798
curveLM.33,1449.626918,160.6269181
curveLM.34,1450,161.8981988
curveLM.35,1451,162.3240151
curveLM.36,1451,163.7498314
curveLM.37,1452,164.1756477
curveLM.38,1452.425299,165.4252992
curveLM.39,1453.433504,166.4335036
curveLM.40,1454.441708,167.441708
curveLM.41,1455.449912,168.4499123
curveLM.42,1456,169.6478748
curveLM.43,1456.759214,170.7592143
curveLM.44,1457.060312,172.0603118
curveLM.45,1458,173.0968965
curveLM.46,1458.369614,174.3696138
curveLM.47,1459.377818,175.3778181
curveLM.48,1460,176.5459182
curveLM.49,1460.68712,177.6871201
curveLM.50,1461.695324,178.6953244
curveLM.51,1462.703529,179.7035288
curveLM.52,1463.004626,181.0046264
curveLM.53,1464,182.0181454
curveLM.54,1464,183.4439617
curveLM.55,1464.615026,184.6150259
curveLM.56,1465,185.8813806
curveLM.57,1465.924328,186.9243278
curveLM.58,1466.225425,188.2254254
curveLM.59,1467.23363,189.2336297
curveLM.60,1468.241834,190.2418341
curveLM.61,1469.250038,191.2500385
curveLM.62,1470.258243,192.2582428
curveLM.63,1471,193.3768132
curveLM.64,1471.567545,194.5675448
curveLM.65,1472,195.8142322
curveLM.66,1472.876847,196.8768467
curveLM.67,1473.177944,198.1779443
curveLM.68,1474,199.2632539
curveLM.69,1474.487246,200.4872462
curveLM.70,1475,201.7006729
curveLM.71,1475.796548,202.7965481
curveLM.72,1476.097646,204.0976457
curveLM.73,1477,205.1496946
curveLM.74,1477.406948,206.4069477
curveLM.75,1478,207.5871136
curveLM.76,1478.01293,209
curveLM.77,1479,209.4387462
curveLM.78,1479.611338,210.611338
curveLM.79,1480,211.8761652
curveLM.80,1480.92064,212.9206399
curveLM.81,1481.928844,213.9288443
curveLM.82,1482.229942,215.2299418
curveLM.83,1483,216.3367896
curveLM.84,1483.539244,217.5392438
curveLM.85,1484.547448,218.5474481
curveLM.86,1485.785811,219
curveLM.87,1486.149643,220.1496433
curveLM.88,1487.157848,221.1578477
curveLM.89,1488,222.234833
curveLM.90,1488.46715,223.4671496
curveLM.91,1489,224.672252
curveLM.92,1489.776452,225.7764515
curveLM.93,1490.784656,226.7846559
curveLM.94,1491,228.1212737
curveLM.95,1491.386851,229.386851
curveLM.96,1492,230.5586927
curveLM.97,1492.696153,231.696153
curveLM.98,1493,232.9961117
curveLM.99,1493.298348,234.2983481
curveLM.100,1494,235.4335307
curveLM.101,1494,236.859347
curveLM.102,1495,237.2851633
curveLM.103,1495.71098,238
curveLM.104,1496.136796,239
curveLM.105,1497,239.5626121
curveLM.106,1497.698924,240.6989244
curveLM.107,1498.707129,241.7071288
curveLM.108,1499.715333,242.7153331
curveLM.109,1500.723537,243.7235375
curveLM.110,1501.024635,245.0246351
curveLM.111,1502.032839,246.0328394
curveLM.112,1503,247.0580447
curveLM.113,1503,248.4838609
curveLM.114,1503.643239,249.6432389
curveLM.115,1504,250.9212799
curveLM.116,1504.952541,251.9525409
curveLM.117,1505.960745,252.9607452
curveLM.118,1506.261843,254.2618428
curveLM.119,1507,255.3819044
curveLM.120,1507.571145,256.5711447
curveLM.121,1508,257.8193234
curveLM.122,1508.880447,258.8804467
curveLM.123,1509,260.2567423
curveLM.124,1509.482642,261.4826418
curveLM.125,1510,262.6941613
curveLM.126,1510.791944,263.7919438
curveLM.127,1511.093041,265.0930413
curveLM.128,1512,266.1431831
curveLM.129,1512.402343,267.4023433
curveLM.130,1513,268.580602
curveLM.131,1513.006418,270
curveLM.132,1514,270.4322346
curveLM.133,1514,271.8580509
curveLM.134,1514.907831,272.9078312
curveLM.135,1515,274.2954699
curveLM.136,1515.510026,275.5100263
curveLM.137,1516,276.7328889
curveLM.138,1516.112221,278.1122215
curveLM.139,1517,279.1703079
curveLM.140,1517,280.5961241
curveLM.141,1517.722621,281.722621
curveLM.142,1518.730825,282.7308254
curveLM.143,1519.031923,284.0319229
curveLM.144,1520,285.0567486
curveLM.145,1520.341225,286.3412249
