,V1,V2
suture_start,462,762
curveLM.3,462.952377,762.952377
curveLM.4,463.904754,763.904754
curveLM.5,464.8571309,764.8571309
curveLM.6,465.8095079,765.8095079
curveLM.7,466.7618849,766.7618849
curveLM.8,467.7142619,767.7142619
curveLM.9,468.6666388,768.6666388
curveLM.10,469.6190158,769.6190158
curveLM.11,470.5713928,770.5713928
curveLM.12,471.5237698,771.5237698
curveLM.13,472,772.6733732
curveLM.14,472.7214169,773.7214169
curveLM.15,473.6737939,774.6737939
curveLM.16,474.6261709,775.6261709
curveLM.17,475.8181902,776
curveLM.18,477.1650547,776
curveLM.19,478.5119191,776
curveLM.20,479.8587835,776
curveLM.21,481.205648,776
curveLM.22,482.5525124,776
curveLM.23,483.8993768,776
curveLM.24,485.2462413,776
curveLM.25,486.5931057,776
curveLM.26,487.9399701,776
curveLM.27,488.9099295,775.0900705
curveLM.28,490.2194854,775
curveLM.29,491.5663499,775
curveLM.30,492.64574,774.35426
curveLM.31,493.8458652,774
curveLM.32,495.1362804,773.8637196
curveLM.33,496.1253805,773
curveLM.34,497.4722449,773
curveLM.35,498.8191094,773
curveLM.36,500.1173612,772.8826388
curveLM.37,501.0986247,772
curveLM.38,502.4454891,772
curveLM.39,503.7923535,772
curveLM.40,505.139218,772
curveLM.41,506.4860824,772
curveLM.42,507.8329468,772
curveLM.43,509.1798113,772
curveLM.44,510.5266757,772
curveLM.45,511.8735402,772
curveLM.46,513.2204046,772
curveLM.47,514.4011198,771.5988802
curveLM.48,515.4999199,771
curveLM.49,516.5987669,770.4012331
curveLM.50,517.7794352,770
curveLM.51,518.1262996,769
curveLM.52,519.3345775,768.6654225
curveLM.53,520.2869545,767.7130455
curveLM.54,521.2393315,766.7606685
curveLM.55,522,765.7288833
curveLM.56,522.4369786,764.5630214
curveLM.57,523,763.449368
curveLM.58,523.6346258,762.3653742
curveLM.59,524,761.1698527
curveLM.60,524.1251662,759.8748338
curveLM.61,525,758.8903374
curveLM.62,525.3228134,757.6771866
curveLM.63,526,756.6108221
curveLM.64,526.5204605,755.4795395
curveLM.65,527,754.3313068
curveLM.66,527.0110009,752.9889991
curveLM.67,527.9633779,752.0366221
curveLM.68,528.2086481,750.7913519
curveLM.69,529.1610251,749.8389749
curveLM.70,530,748.8396253
curveLM.71,530.3586722,747.6413278
curveLM.72,531,746.56011
