,V1,V2
suture_start,732,121
curveLM.3,733.0836046,122
curveLM.4,734.5814227,122
curveLM.5,735.7631385,122.7631385
curveLM.6,737.1151491,123.1151491
curveLM.7,738.24645,124
curveLM.8,739.5262771,124.5262771
curveLM.9,740.8278728,125
curveLM.10,741.937405,125.937405
curveLM.11,743.2894156,126.2894156
curveLM.12,744.4929001,127
curveLM.13,745.7005436,127.7005436
curveLM.14,747.0743228,128
curveLM.15,748.4045648,128.4045648
curveLM.16,749.6557455,129
curveLM.17,750.8156927,129.8156927
curveLM.18,752.2371683,130
curveLM.19,753.7349864,130
curveLM.20,754.2328046,131
curveLM.21,755.7306227,131
curveLM.22,756.8686389,131.8686389
curveLM.23,758.2206495,132.2206495
curveLM.24,759,133.39565
curveLM.25,759.6317774,134.6317774
curveLM.26,760.6908948,135.6908948
curveLM.27,761.0429054,137.0429054
curveLM.28,762.1020227,138.1020227
curveLM.29,763.1611401,139.1611401
curveLM.30,764.2202575,140.2202575
curveLM.31,765.2793748,141.2793748
curveLM.32,766.3384922,142.3384922
curveLM.33,767.3976096,143.3976096
curveLM.34,768.6459094,144
curveLM.35,769.8087375,144.8087375
curveLM.36,771.1607481,145.1607481
curveLM.37,772.3109367,146
curveLM.38,773.8087549,146
curveLM.39,774.306573,147
curveLM.40,775,147.8043912
curveLM.41,775.920801,148.920801
curveLM.42,776.9799184,149.9799184
curveLM.43,777.331929,151.331929
curveLM.44,778.3910464,152.3910464
curveLM.45,779.4501637,153.4501637
curveLM.46,780.5092811,154.5092811
curveLM.47,781.8038368,155
curveLM.48,782.9204091,154.0795909
curveLM.49,784.3852596,154
curveLM.50,785.8830777,154
curveLM.51,787.3808959,154
curveLM.52,788.878714,154
curveLM.53,790.3765321,154
curveLM.54,791.8743503,154
curveLM.55,792.9702696,154.9702696
curveLM.56,793,156.455773
curveLM.57,793.6742908,157.6742908
curveLM.58,794.0263014,159.0263014
curveLM.59,795,160.1208003
curveLM.60,795.4374293,161.4374293
curveLM.61,796,162.7022231
curveLM.62,796.8485573,163.8485573
curveLM.63,797.2005679,165.2005679
curveLM.64,798,166.3672504
curveLM.65,798,167.8650685
curveLM.66,798.9637064,168.9637064
curveLM.67,800.0228238,170.0228238
curveLM.68,801.0819411,171.0819411
curveLM.69,802,172.1994869
curveLM.70,802.4930691,173.4930691
curveLM.71,803.5521865,174.5521865
curveLM.72,804.6113038,175.6113038
curveLM.73,805.6704212,176.6704212
curveLM.74,806.7295386,177.7295386
curveLM.75,808.0815492,178.0815492
curveLM.76,809.1989325,179
curveLM.77,810.4926771,179.4926771
curveLM.78,811.7803552,180
curveLM.79,813.1966983,180.1966983
curveLM.80,814.361778,181
curveLM.81,815.8595961,181
curveLM.82,817.3574143,181
curveLM.83,818.8552324,181
curveLM.84,820.2496444,180.7503556
curveLM.85,821.4366551,180
curveLM.86,822.9344733,180
curveLM.87,824.4322914,180
curveLM.88,825.6576868,179.3423132
curveLM.89,827.0137142,179
curveLM.90,828.5115323,179
curveLM.91,829.7137186,178.2862814
curveLM.92,831.092955,178
curveLM.93,832.5907732,178
curveLM.94,834.0626435,177.9373565
curveLM.95,835.1721959,177
curveLM.96,836.6700141,177
curveLM.97,838.1678322,177
curveLM.98,839.6656504,177
curveLM.99,840.8226965,177.8226965
curveLM.100,842.2470731,178
curveLM.101,843.7448912,178
curveLM.102,845,178.2427094
curveLM.103,845.7405275,179
curveLM.104,847.1685358,179.1685358
curveLM.105,848.3219503,180
curveLM.106,849.5796638,179.4203362
curveLM.107,850.903373,179
curveLM.108,851.9907918,178.0092082
curveLM.109,853.4847957,178
curveLM.110,854.6948129,177.3051871
curveLM.111,856.0468235,176.9531765
curveLM.112,857.149823,176
curveLM.113,858.6476412,176
curveLM.114,860,175.8545407
curveLM.115,860.6432775,175
curveLM.116,862,175.1410956
curveLM.117,862.6389138,176
curveLM.118,863.1367319,177
curveLM.119,864,177.6345501
curveLM.120,865.0935985,178.0935985
curveLM.121,866.1527158,179.1527158
curveLM.122,867.2118332,180.2118332
