,V1,V2
suture_start,1156,126
curveLM.3,1156.091619,125
curveLM.4,1157,124.8167622
curveLM.5,1157.274857,124
curveLM.6,1158,123.6335245
curveLM.7,1158.458094,123
curveLM.8,1159,122.4502867
curveLM.9,1159.45349,121.5465097
curveLM.10,1160.225381,120.7746186
curveLM.11,1160.997273,120.0027275
curveLM.12,1161.769164,119.2308363
curveLM.13,1162.541055,118.4589452
curveLM.14,1163.442572,118
curveLM.15,1164.534191,118
curveLM.16,1165.62581,118
curveLM.17,1166.717429,118
curveLM.18,1167.809048,118
curveLM.19,1168.900667,118
curveLM.20,1169.992286,118
curveLM.21,1170.059329,119.0593294
curveLM.22,1170.831221,119.8312205
curveLM.23,1171.603112,120.6031116
curveLM.24,1172.375003,121.3750027
curveLM.25,1173.146894,122.1468939
curveLM.26,1173.918785,122.918785
curveLM.27,1174.976763,123
curveLM.28,1175.75546,123.7554604
curveLM.29,1176.527352,124.5273515
curveLM.30,1177,125.423193
curveLM.31,1177,126.5148119
curveLM.32,1177,127.6064308
curveLM.33,1177,128.6980496
curveLM.34,1177,129.7896685
curveLM.35,1177.881287,130
curveLM.36,1178.687949,130.6879486
curveLM.37,1179.650312,131
curveLM.38,1180,131.7419305
curveLM.39,1180.833549,132
curveLM.40,1181.654193,132.6541927
curveLM.41,1182,133.6025735
curveLM.42,1182.490868,134.4908682
curveLM.43,1183.262759,135.2627593
curveLM.44,1184,136.0490031
curveLM.45,1184,137.1406219
curveLM.46,1184.164219,138.1642191
curveLM.47,1184.93611,138.9361102
curveLM.48,1185.708001,139.7080013
curveLM.49,1186.67867,140
curveLM.50,1187,140.7702892
curveLM.51,1187.609461,141.6094611
curveLM.52,1188.539313,142
curveLM.53,1189.446136,142.4461365
curveLM.54,1190.218028,143.2180276
curveLM.55,1190.989919,143.9899187
curveLM.56,1191.76181,144.7618098
curveLM.57,1192.754767,145
curveLM.58,1193.598485,145.5984853
curveLM.59,1194.370376,146.3703764
curveLM.60,1195.142268,147.1422675
curveLM.61,1195.914159,147.9141586
curveLM.62,1196.68605,148.6860497
curveLM.63,1197.647626,149
curveLM.64,1198.522725,149.5227252
curveLM.65,1199.294616,150.2946163
curveLM.66,1200.066507,151.0665074
curveLM.67,1200.838399,151.8383985
curveLM.68,1201.61029,152.6102896
curveLM.69,1202.382181,153.3821807
curveLM.70,1203,154.2178905
curveLM.71,1203.218856,155.2188562
curveLM.72,1203.990747,155.9907473
curveLM.73,1204.078534,157
curveLM.74,1205,157.1701524
curveLM.75,1205.1851,158.1851003
curveLM.76,1205.956991,158.9569914
curveLM.77,1206.728883,159.7288825
curveLM.78,1207.500774,160.5007736
curveLM.79,1208.272665,161.2726647
curveLM.80,1209.044556,162.0445558
curveLM.81,1209.816447,162.8164469
