,V1,V2
suture_start,663,879
curveLM.3,664.5140516,879
curveLM.4,665.7269788,878.2730212
curveLM.5,667.0904682,877.9095318
curveLM.6,668.1610643,876.8389357
curveLM.7,669,875.6723826
curveLM.8,669,874.1583309
curveLM.9,669.3557207,873
curveLM.10,670.6150219,872.3849781
curveLM.11,671.9696104,872
curveLM.12,673.483662,872
curveLM.13,674.7054901,871.2945099
curveLM.14,676.0975517,871
curveLM.15,677.6116033,871
curveLM.16,678.7959582,870.2040418
curveLM.17,680.1594476,869.8405524
curveLM.18,681.325331,869
curveLM.19,682.8393827,869
curveLM.20,684,868.6465657
curveLM.21,684.8674859,868
curveLM.22,686.2697878,867.7302122
curveLM.23,687.4813756,867
curveLM.24,688.9954272,867
curveLM.25,690.0952653,866
curveLM.26,691.6093169,866
curveLM.27,692.7943415,865.2056585
curveLM.28,694.1578309,864.8421691
curveLM.29,695.2284271,863.7715729
curveLM.30,696.2990232,862.7009768
curveLM.31,697,861.4772792
curveLM.32,697.026002,859.973998
curveLM.33,698.0965982,858.9034018
curveLM.34,699.2364485,858
curveLM.35,700.5306837,857.4693163
curveLM.36,701.8503382,857
curveLM.37,703.3643898,857
curveLM.38,704.6211519,856.3788481
curveLM.39,705.9782795,856
curveLM.40,707.0781176,855
curveLM.41,708.4187268,854.5812732
curveLM.42,709.6920072,854
curveLM.43,710.8528124,853.1471876
curveLM.44,712.3058969,853
curveLM.45,713.5797912,852.4202088
curveLM.46,714.6503874,851.3496126
curveLM.47,716.0196247,851
curveLM.48,717.3773661,850.6226339
curveLM.49,718.6335144,850
curveLM.50,720.1043449,849.8956551
curveLM.51,721.247404,849
curveLM.52,722.7614557,849
curveLM.53,724.2755073,849
curveLM.54,725.7895589,849
curveLM.55,727.3036105,849
curveLM.56,728.8176622,849
curveLM.57,730.3317138,849
curveLM.58,731.8457654,849
curveLM.59,732.9615358,849.9615358
curveLM.60,734.4596551,850
curveLM.61,735.9737067,850
curveLM.62,736.4877583,849
curveLM.63,738.00181,849
curveLM.64,739,848.4841384
curveLM.65,740.0299132,848
curveLM.66,741.3846412,847.6153588
curveLM.67,742.4552374,846.5447626
curveLM.68,743.743641,846
curveLM.69,744.889323,845.110677
curveLM.70,745.9599191,844.0400809
curveLM.71,747,843.5426313
curveLM.72,747.9714203,843
curveLM.73,749.0503873,841.9496127
curveLM.74,750.1209835,840.8790165
curveLM.75,751.2709345,840
curveLM.76,752.7849861,840
curveLM.77,754.2990378,840
curveLM.78,755.8130894,840
curveLM.79,757.327141,840
curveLM.80,758.8411926,840
curveLM.81,760.3552442,840
curveLM.82,761.614685,840.614685
curveLM.83,762.9691339,841
curveLM.84,764.4831856,841
curveLM.85,765.9972372,841
curveLM.86,767.5112888,841
curveLM.87,768.7250252,841.7250252
curveLM.88,770.1251785,842
curveLM.89,771.4520039,842.4520039
curveLM.90,772.5226001,843.5226001
curveLM.91,773.5931963,844.5931963
curveLM.92,774.9387443,845
curveLM.93,776.0385824,846
curveLM.94,777.3907712,846.3907712
curveLM.95,778.652472,847
curveLM.96,779.8248568,847.8248568
curveLM.97,781.1883462,848.1883462
curveLM.98,782.3661998,849
curveLM.99,783.6224317,849.6224317
curveLM.100,784.9800895,850
curveLM.101,786.3494105,850.3494105
curveLM.102,787.5939791,851
curveLM.103,789.0763893,851.0763893
curveLM.104,790.2078688,852
curveLM.105,791.7219205,852
curveLM.106,793.2359721,852
curveLM.107,794.7500237,852
curveLM.108,796.2640753,852
curveLM.109,797.778127,852
curveLM.110,799.2921786,852
curveLM.111,800.8062302,852
curveLM.112,802.3202818,852
curveLM.113,803.8343334,852
curveLM.114,805.3483851,852
curveLM.115,806.8624367,852
curveLM.116,808.3764883,852
curveLM.117,809.8905399,852
curveLM.118,811.4045916,852
curveLM.119,812.9186432,852
curveLM.120,814.4326948,852
curveLM.121,815.9467464,852
curveLM.122,817.4607981,852
curveLM.123,818.6893228,851.3106772
curveLM.124,820.0746877,851
curveLM.125,821.4163016,850.5836984
curveLM.126,822.6885774,850
curveLM.127,823.8503872,849.1496128
curveLM.128,824.9209833,848.0790167
curveLM.129,826.2844727,847.7155273
curveLM.130,827.5021432,847
curveLM.131,829.0114515,846.9885485
curveLM.132,830.1160329,846
curveLM.133,831.6300845,846
curveLM.134,832.1441362,845
curveLM.135,833.465409,844.534591
curveLM.136,834.7580258,844
curveLM.137,835.8994946,843.1005054
curveLM.138,836.9700908,842.0299092
curveLM.139,838.0406869,840.9593131
curveLM.140,839.1112831,839.8887169
curveLM.141,840,838.7427839
curveLM.142,840.5453687,837.4546313
curveLM.143,841.8711058,837
curveLM.144,842.9794542,836.0205458
curveLM.145,844.3429436,835.6570564
curveLM.146,845.5848336,835
curveLM.147,847.0699224,834.9300776
curveLM.148,848.1987233,834
curveLM.149,849.504008,833.495992
curveLM.150,850.8126129,833
curveLM.151,852.2309867,832.7690133
curveLM.152,853.4265026,832
curveLM.153,854.6650723,831.3349277
curveLM.154,856.0285617,830.9714383
curveLM.155,857.1402304,830
curveLM.156,858.654282,830
curveLM.157,860.1683336,830
curveLM.158,861.6823852,830
curveLM.159,863.1964369,830
curveLM.160,864.7104885,830
curveLM.161,866.2245401,830
curveLM.162,867.7385917,830
curveLM.163,869.2526434,830
curveLM.164,870.766695,830
curveLM.165,872.1985178,829.8014822
curveLM.166,873.3805847,829
curveLM.167,874.8946363,829
curveLM.168,875.9960928,828.0039072
curveLM.169,877.508526,828
curveLM.170,878.7230716,827.2769284
curveLM.171,880.1224157,827
curveLM.172,881,826.3635327
curveLM.173,882.1505189,826
curveLM.174,883.4699223,825.5300777
curveLM.175,884.7644086,825
curveLM.176,885.9040079,824.0959921
curveLM.177,886.9746041,823.0253959
curveLM.178,888,821.9360772
curveLM.179,888.4086896,820.5913104
curveLM.180,889,819.3221875
curveLM.181,889.8427752,818.1572248
curveLM.182,890,816.7082979
curveLM.183,890,815.1942462
curveLM.184,890,813.6801946
curveLM.185,890,812.166143
curveLM.186,890.2460086,810.7539914
curveLM.187,891,809.5522533
curveLM.188,891,808.0382017
curveLM.189,892,807.5241501
curveLM.190,892.6999661,806.3000339
curveLM.191,894,805.9102604
curveLM.192,894.4269449,804.5730551
curveLM.193,895.7036293,804
curveLM.194,896.8610304,803.1389696
curveLM.195,898.2245198,802.7754802
curveLM.196,899.295116,801.704884
curveLM.197,900.5171951,801
curveLM.198,901.7292016,800.2707984
curveLM.199,903,799.8689152
curveLM.200,903.6451364,799
curveLM.201,904.159188,798
curveLM.202,905,797.3267603
curveLM.203,905,795.8127087
curveLM.204,905,794.2986571
curveLM.205,904.1405863,793.1405863
curveLM.206,903.0699901,792.0699901
curveLM.207,901.9991429,791
curveLM.208,901.3640955,790.6359045
curveLM.209,902.6147468,790
curveLM.210,903.798181,789.201819
curveLM.211,905.2286365,789
curveLM.212,906,788.2573119
curveLM.213,907.2567397,788
curveLM.214,908.5450318,787.4549682
curveLM.215,909.8706294,787
curveLM.216,910.9791173,786.0208827
curveLM.217,912.4845191,786
curveLM.218,913.9985707,786
curveLM.219,914.5126223,785
curveLM.220,916.0188613,784.9811387
curveLM.221,917.126512,784
curveLM.222,918,783.3594364
curveLM.223,919.1093295,782.8906705
curveLM.224,920,781.7455467
curveLM.225,920.5434151,780.4565849
curveLM.226,921.6140112,779.3859888
curveLM.227,922,778.0318189
curveLM.228,923,776.9319809
curveLM.229,923.4115862,775.5884138
curveLM.230,924,774.3180912
curveLM.231,924,772.8040396
curveLM.232,924.5020543,771.4979457
curveLM.233,925,770.1901499
curveLM.234,925,768.6760983
curveLM.235,925,767.1620466
curveLM.236,925.9560119,766.0439881
curveLM.237,927.3195013,765.6804987
curveLM.238,928.5516811,765
curveLM.239,929.0657327,764
curveLM.240,930,763.4202156
curveLM.241,931.0663521,762.9336479
curveLM.242,932,761.806326
curveLM.243,932,760.2922743
curveLM.244,931.136073,759.136073
curveLM.245,929.7725836,758.7725836
curveLM.246,928.5785466,758
curveLM.247,927.064495,758
curveLM.248,925.5504433,758
curveLM.249,924.318626,757.318626
curveLM.250,922.9551367,756.9551367
curveLM.251,921.8845405,755.8845405
curveLM.252,920.7368775,755
curveLM.253,920,754.2228259
curveLM.254,920,752.7087743
curveLM.255,920.5694171,751.4305829
curveLM.256,921,750.0948846
curveLM.257,922.0035026,748.9964974
curveLM.258,923.1047915,748
curveLM.259,924.4375882,747.5624118
curveLM.260,925.7186812,747
curveLM.261,927.2327328,747
curveLM.262,928.5280563,746.4719437
curveLM.263,929.8466225,746
curveLM.264,931.3606741,746
curveLM.265,932.6185245,745.3814755
curveLM.266,933.9745638,745
curveLM.267,935.4886154,745
curveLM.268,936.7089927,744.2910073
curveLM.269,938.1025051,744
curveLM.270,939.6165567,744
curveLM.271,940.1306084,743
curveLM.272,941.64466,743
curveLM.273,943,742.8412884
curveLM.274,943.6727632,742
curveLM.275,944.8392048,741.1607952
