,V1,V2
suture_start,1384,229
curveLM.3,1382.265459,229
curveLM.4,1380.945131,230
curveLM.5,1379.210589,230
curveLM.6,1377.890262,231
curveLM.7,1376.15572,231
curveLM.8,1374.835392,232
curveLM.9,1373.364206,232.6357943
curveLM.10,1372.155194,233.1551935
curveLM.11,1373.381699,234.3816995
curveLM.12,1374.608205,235.6082054
curveLM.13,1375.834711,236.8347114
curveLM.14,1377.061217,238.0612174
curveLM.15,1378.287723,239.2877234
curveLM.16,1379.514229,240.5142293
curveLM.17,1379,241.0475579
curveLM.18,1378.217901,242
curveLM.19,1377,242.5166406
curveLM.20,1375.748818,243
curveLM.21,1374.302988,243.6970117
curveLM.22,1372.783589,244.2164109
curveLM.23,1372.442917,245.4429169
curveLM.24,1373.669423,246.6694228
curveLM.25,1374.895929,247.8959288
curveLM.26,1376.122435,249.1224348
curveLM.27,1377.493477,250
curveLM.28,1378.86834,250.8683399
curveLM.29,1380.134132,252
curveLM.30,1380.385755,252.6142451
curveLM.31,1379.159249,253.840751
curveLM.32,1377.932743,255.067257
curveLM.33,1376.584556,256
curveLM.34,1375.186838,256.8131622
curveLM.35,1373.667439,257.3325614
curveLM.36,1372.440933,258.5590673
curveLM.37,1372,260.1109684
curveLM.38,1372,261.8455098
curveLM.39,1372.410158,263.4101581
curveLM.40,1373,264.900379
curveLM.41,1373.448956,266.4489565
curveLM.42,1374.955248,267
curveLM.43,1376.487755,267.4877549
curveLM.44,1378.007154,268.0071541
curveLM.45,1379.23366,269.23366
curveLM.46,1380,270.650773
curveLM.47,1379.614686,272
curveLM.48,1377.915249,272.0847508
curveLM.49,1376.559816,273
curveLM.50,1375.169344,273.830656
curveLM.51,1373.649945,274.3500552
curveLM.52,1372.184619,275
curveLM.53,1370.864292,276
curveLM.54,1369.12975,276
curveLM.55,1367.395209,276
curveLM.56,1365.660668,276
curveLM.57,1363.947763,275.9477633
curveLM.58,1362.605798,275
curveLM.59,1360.871257,275
curveLM.60,1360,275.8632844
curveLM.61,1359,276.5978258
curveLM.62,1359,278.3323672
curveLM.63,1359,280.0669086
curveLM.64,1359,281.8014499
curveLM.65,1359.535991,283
curveLM.66,1360.191296,284.1912955
curveLM.67,1361,285.5908605
curveLM.68,1362.230094,286.2300939
curveLM.69,1363,287.6457297
curveLM.70,1363.975999,288.975999
curveLM.71,1365.495398,289.4953982
curveLM.72,1366.721904,290.7219042
curveLM.73,1367.94841,291.9484102
curveLM.74,1369.661582,292
curveLM.75,1371.396124,292
curveLM.76,1373.130665,292
curveLM.77,1374.865206,292
curveLM.78,1376.185534,293
curveLM.79,1377.920076,293
curveLM.80,1379.462884,293.4628841
curveLM.81,1380.974945,294
curveLM.82,1382.501683,294.5016825
curveLM.83,1384.029814,295
curveLM.84,1385.764355,295
curveLM.85,1387.498897,295
curveLM.86,1389.233438,295
curveLM.87,1390.684465,295.6844649
curveLM.88,1392.288307,296
curveLM.89,1394,296.0228487
curveLM.90,1394.75739,297
curveLM.91,1396.347848,297.3478481
curveLM.92,1397.574354,298.5743541
curveLM.93,1398.80086,299.80086
curveLM.94,1400.027366,301.027366
curveLM.95,1401,302.3590292
curveLM.96,1401,304.0935705
curveLM.97,1400.414436,305.5855636
curveLM.98,1399.85156,307
curveLM.99,1399,307.8829811
curveLM.100,1397.382478,308
curveLM.101,1395.647936,308
curveLM.102,1393.913395,308
curveLM.103,1392.419362,307.4193617
curveLM.104,1390.858526,307
curveLM.105,1389.123984,307
curveLM.106,1387.568271,306.5682709
curveLM.107,1386.069115,306
curveLM.108,1384.748787,305
curveLM.109,1383.014246,305
curveLM.110,1381.693918,304
curveLM.111,1380.264168,303.2641682
curveLM.112,1378.744769,303.255231
curveLM.113,1378,304.681279
curveLM.114,1376.998864,306.0011362
curveLM.115,1376,307.3219346
curveLM.116,1375.252959,308.7470413
curveLM.117,1375,310.3768038
curveLM.118,1374.21416,311.7858397
curveLM.119,1374,313.431673
curveLM.120,1375.166214,314
curveLM.121,1376.900756,314
curveLM.122,1378.635297,314
curveLM.123,1380.369839,314
curveLM.124,1381.780915,314.7809145
curveLM.125,1383.424708,315
curveLM.126,1385.159249,315
curveLM.127,1386.89379,315
curveLM.128,1388.628332,315
curveLM.129,1390.362873,315
curveLM.130,1392.097415,315
curveLM.131,1393.831956,315
curveLM.132,1395.566497,315
curveLM.133,1397.301039,315
curveLM.134,1399.025159,315.0251589
curveLM.135,1400.355908,316
curveLM.136,1402.063957,316.0639573
curveLM.137,1403.410777,317
curveLM.138,1404.809862,317.8098625
curveLM.139,1406.036368,319.0363684
curveLM.140,1406.737126,320.2628744
curveLM.141,1405.51062,321.4893804
curveLM.142,1403.99122,322.0087795
curveLM.143,1403,323.332744
curveLM.144,1402.245315,324.7546847
curveLM.145,1401.018809,325.9811907
curveLM.146,1400.49941,327.5005899
curveLM.147,1400.019989,329.0199891
curveLM.148,1401.246495,330.246495
curveLM.149,1402.668924,331
curveLM.150,1404,331.4034658
curveLM.151,1405.097586,332.0975858
curveLM.152,1406.324092,333.3240918
curveLM.153,1407.550598,334.5505977
curveLM.154,1409.069997,335.0699969
curveLM.155,1410.296503,336.2965029
curveLM.156,1411.523009,337.5230089
curveLM.157,1412,339.059974
curveLM.158,1412.794515,340
curveLM.159,1413,341.5290568
curveLM.160,1413,343.2635982
curveLM.161,1413,344.9981396
curveLM.162,1412,346.3184674
curveLM.163,1411.25541,347.7445896
curveLM.164,1409.736011,347.7360112
curveLM.165,1408.306336,347
curveLM.166,1407,346.5717943
curveLM.167,1405.837253,346
curveLM.168,1404.365521,345.3655212
curveLM.169,1402.846122,344.846122
curveLM.170,1401.462056,344
curveLM.171,1400.100217,343.1002169
curveLM.172,1398.8214,342
curveLM.173,1397.354312,341.3543117
curveLM.174,1395.834913,340.8349125
curveLM.175,1394.446203,340
curveLM.176,1393.089007,339.0890074
curveLM.177,1391.805548,338
curveLM.178,1390.343102,337.3431022
curveLM.179,1388.823703,336.823703
curveLM.180,1387.430351,336
curveLM.181,1386.784905,337.2150954
curveLM.182,1386,338.6245186
curveLM.183,1386.253894,340.2538937
curveLM.184,1387,341.6793878
curveLM.185,1387.999799,342.9997989
curveLM.186,1388.519198,344.5191981
curveLM.187,1389.038597,346.0385973
curveLM.188,1390,347.3749126
curveLM.189,1389.922604,349.0773956
curveLM.190,1389,350.4297818
curveLM.191,1388.883806,352.116194
curveLM.192,1388,353.484651
curveLM.193,1387.137901,354.8620992
curveLM.194,1387.381498,356.3814984
curveLM.195,1388,357.859848
curveLM.196,1389,359.1801758
curveLM.197,1389.914717,360
curveLM.198,1391,361.235045
curveLM.199,1391.969586,362
curveLM.200,1392.704128,363
