,V1,V2
suture_start,1008,334
curveLM.3,1009.136241,334.136241
curveLM.4,1009.979589,334.9795887
curveLM.5,1011.163808,335
curveLM.6,1012.356482,335
curveLM.7,1013,335.5491555
curveLM.8,1013.741829,336
curveLM.9,1014.934503,336
curveLM.10,1016.127177,336
curveLM.11,1017.319851,336
curveLM.12,1018.512524,336
curveLM.13,1019.705198,336
curveLM.14,1020,335.1021279
curveLM.15,1021.090546,335
curveLM.16,1022.28322,335
curveLM.17,1023.475893,335
curveLM.18,1024.668567,335
curveLM.19,1025.861241,335
curveLM.20,1027.053915,335
curveLM.21,1028.246589,335
curveLM.22,1029.439262,335
curveLM.23,1030,335.6319363
curveLM.24,1030.82461,336
curveLM.25,1032.012222,336.0122216
curveLM.26,1032.855569,336.8555693
curveLM.27,1033.988418,337
curveLM.28,1034.835158,337.835158
curveLM.29,1035.678506,338.6785057
curveLM.30,1036.738012,339
curveLM.31,1037.658094,339.6580944
curveLM.32,1038.501442,340.5014421
curveLM.33,1039.487607,341
curveLM.34,1040.481031,341.4810308
curveLM.35,1041.324379,342.3243786
curveLM.36,1042.237201,343
curveLM.37,1043,343.4298746
curveLM.38,1043.622548,344
curveLM.39,1044.815222,344
curveLM.40,1045.005583,345.0055833
curveLM.41,1045.848931,345.8489311
curveLM.42,1046.97903,346
curveLM.43,1047.171704,347
curveLM.44,1048.257654,347.2576539
curveLM.45,1049,348.1428379
curveLM.46,1048.762757,349.2372426
curveLM.47,1048,350.1139719
curveLM.48,1048,351.3066457
curveLM.49,1048,352.4993196
curveLM.50,1048,353.6919934
curveLM.51,1048,354.8846672
curveLM.52,1048,356.077341
curveLM.53,1048,357.2700148
curveLM.54,1048.32717,358.3271702
curveLM.55,1049,359.2411488
curveLM.56,1049,360.4338226
curveLM.57,1049,361.6264964
curveLM.58,1049,362.8191702
curveLM.59,1049,364.011844
curveLM.60,1048.855384,365.1446159
curveLM.61,1048.012036,365.9879637
curveLM.62,1047.875795,367.1242046
curveLM.63,1047.032448,367.9675524
curveLM.64,1047,369.1467859
curveLM.65,1046.66054,370
curveLM.66,1046,370.5321335
curveLM.67,1045.487484,371.5125162
curveLM.68,1044.496732,372
curveLM.69,1043.507895,372.4921049
curveLM.70,1042.525598,373
curveLM.71,1041.528306,373.4716935
curveLM.72,1040.554464,374
curveLM.73,1039.548718,374.4512822
curveLM.74,1038.70537,375.29463
curveLM.75,1037.862022,376.1379777
curveLM.76,1037.018675,376.9813254
curveLM.77,1036.175327,377.8246732
curveLM.78,1035.331979,378.6680209
curveLM.79,1034.488631,379.5113686
curveLM.80,1034,380.5016447
curveLM.81,1033.509043,381.4909573
curveLM.82,1032.665695,382.3343051
curveLM.83,1032,383.251239
curveLM.84,1031.686106,384.3138937
curveLM.85,1030.777627,385
curveLM.86,1029.584953,385
curveLM.87,1028.392279,385
curveLM.88,1027.199606,385
curveLM.89,1026.006932,385
curveLM.90,1024.868661,385.1313395
curveLM.91,1024.025313,385.9746872
curveLM.92,1022.843124,386
curveLM.93,1021.65045,386
curveLM.94,1020.457776,386
curveLM.95,1020,386.7348975
curveLM.96,1019.072429,387
curveLM.97,1017.879755,387
curveLM.98,1016.778733,387.2212671
curveLM.99,1015.908621,388
curveLM.100,1015,388.2840529
curveLM.101,1014.662903,389.3370967
curveLM.102,1014,390.255187
curveLM.103,1014,391.4478608
curveLM.104,1013.547074,392.4529264
curveLM.105,1013,393.4189948
curveLM.106,1013,394.6116686
curveLM.107,1013,395.8043424
curveLM.108,1013,396.9970162
curveLM.109,1012.865869,398.1341311
curveLM.110,1012.022521,398.9774788
curveLM.111,1012,400.1608241
curveLM.112,1012,401.3534979
curveLM.113,1012,402.5461717
curveLM.114,1012.522443,403.5224427
curveLM.115,1013,404.5173057
curveLM.116,1013.70998,405
curveLM.117,1014,405.9026533
curveLM.118,1014.095327,407
curveLM.119,1015,407.2880009
curveLM.120,1015,408.4806748
curveLM.121,1015.476129,409.4761293
curveLM.122,1016,410.4518088
curveLM.123,1016,411.6444826
curveLM.124,1016.591959,412.591959
curveLM.125,1017,413.6156166
curveLM.126,1017,414.8082904
curveLM.127,1017,416.0009642
curveLM.128,1017,417.193638
curveLM.129,1016.613688,418
curveLM.130,1016,418.5789857
curveLM.131,1015.228341,419
curveLM.132,1015,419.9643333
curveLM.133,1014.181872,420.8181275
curveLM.134,1013.338525,421.6614753
curveLM.135,1012.495177,422.504823
curveLM.136,1012,423.4923878
curveLM.137,1011.515588,424.4844117
curveLM.138,1011,425.4635218
curveLM.139,1010.343804,426
curveLM.140,1010,426.8488694
curveLM.141,1009.263518,427.7364823
curveLM.142,1009,428.8200035
curveLM.143,1008.283929,429.716071
curveLM.144,1007.208862,430
curveLM.145,1007,430.9838113
curveLM.146,1006.168099,431.8319006
curveLM.147,1006,432.9549454
curveLM.148,1005.188511,433.8114893
curveLM.149,1004.345163,434.654837
curveLM.150,1004,435.7045397
curveLM.151,1003.102787,436
curveLM.152,1002.229333,436.7706667
curveLM.153,1002,437.8683475
