,V1,V2
suture_start,1115,550
curveLM.3,1116,549.7224255
curveLM.4,1116.555149,549
curveLM.5,1117.832723,549
curveLM.6,1118.110298,548
curveLM.7,1119.387872,548
curveLM.8,1120.470542,547.529458
curveLM.9,1121.528808,547
curveLM.10,1122.806382,547
curveLM.11,1124.059366,546.9406336
curveLM.12,1124.962748,546.037252
curveLM.13,1126.224892,546
curveLM.14,1127.502467,546
curveLM.15,1128.780041,546
curveLM.16,1130.04074,546.0407404
curveLM.17,1130.944122,546.944122
curveLM.18,1132.198551,547
curveLM.19,1133.476126,547
curveLM.20,1134.7537,547
curveLM.21,1136.031275,547
curveLM.22,1137.308849,547
curveLM.23,1138.586423,547
curveLM.24,1139.863998,547
curveLM.25,1141.141572,547
curveLM.26,1142.419147,547
curveLM.27,1143.696721,547
curveLM.28,1144.974296,547
curveLM.29,1146.25187,547
curveLM.30,1147.529445,547
curveLM.31,1148.807019,547
curveLM.32,1150.084594,547
curveLM.33,1151.362168,547
curveLM.34,1152.639743,547
curveLM.35,1153.917317,547
curveLM.36,1155.194892,547
curveLM.37,1156.472466,547
curveLM.38,1157.750041,547
curveLM.39,1159.027615,547
curveLM.40,1160.215802,546.7841983
curveLM.41,1161.168551,546
curveLM.42,1162.446125,546
curveLM.43,1163.7237,546
curveLM.44,1165.001274,546
curveLM.45,1166.278849,546
curveLM.46,1167.556423,546
curveLM.47,1168.833998,546
curveLM.48,1170.111572,546
curveLM.49,1171.389147,546
curveLM.50,1172.666721,546
curveLM.51,1173.944296,546
curveLM.52,1175,546.22187
curveLM.53,1175.499444,547
curveLM.54,1176.777019,547
curveLM.55,1178.038603,547.0386034
curveLM.56,1178.941985,547.941985
curveLM.57,1180.13826,548.1382598
curveLM.58,1181.05889,549
curveLM.59,1182.336464,549
curveLM.60,1183.614039,549
curveLM.61,1184.891613,549
curveLM.62,1186.169188,549
curveLM.63,1187.315909,548.6840914
curveLM.64,1188.310123,548
curveLM.65,1189.587698,548
curveLM.66,1190.865272,548
curveLM.67,1192.142847,548
curveLM.68,1193.297283,547.7027174
curveLM.69,1194.283782,547
curveLM.70,1195.561356,547
curveLM.71,1196.838931,547
curveLM.72,1198.082382,546.9176182
curveLM.73,1198.985763,546.0142366
curveLM.74,1200.257441,546
curveLM.75,1201.535015,546
curveLM.76,1202.81259,546
curveLM.77,1204.090164,546
curveLM.78,1205.367739,546
curveLM.79,1206.645313,546
curveLM.80,1207.922888,546
curveLM.81,1209.200462,546
curveLM.82,1210.478037,546
curveLM.83,1211.755611,546
curveLM.84,1213.033186,546
curveLM.85,1214.31076,546
curveLM.86,1215.588335,546
curveLM.87,1216.865909,546
curveLM.88,1218.143484,546
curveLM.89,1219.421058,546
curveLM.90,1220.698633,546
curveLM.91,1221.976207,546
curveLM.92,1223.253782,546
curveLM.93,1224.531356,546
curveLM.94,1225.808931,546
curveLM.95,1226.768275,545.2317249
curveLM.96,1227.949866,545
curveLM.97,1229.22744,545
curveLM.98,1230.505015,545
curveLM.99,1231.782589,545
curveLM.100,1233.060164,545
curveLM.101,1234.238817,545.2388171
curveLM.102,1235.201099,546
curveLM.103,1236.478674,546
curveLM.104,1237.756248,546
curveLM.105,1238.731023,546.7310231
curveLM.106,1239.897184,547
curveLM.107,1241.174758,547
curveLM.108,1242.452333,547
curveLM.109,1243.729907,547
curveLM.110,1245.00529,546.9947097
curveLM.111,1245.908672,546.0913281
curveLM.112,1247.148417,546
curveLM.113,1248.425992,546
curveLM.114,1249.703566,546
curveLM.115,1250.98114,546
curveLM.116,1251.890046,545.1099541
curveLM.117,1253.122076,545
curveLM.118,1254.39965,545
curveLM.119,1255.677225,545
curveLM.120,1256.675145,544.3248549
curveLM.121,1257.81816,544
curveLM.122,1259.095735,544
curveLM.123,1260.263969,543.7360305
curveLM.124,1261.23667,543
curveLM.125,1262.514245,543
curveLM.126,1263.559901,542.4400993
curveLM.127,1264.65518,542
curveLM.128,1265.932755,542
curveLM.129,1266.855832,541.1441681
curveLM.130,1268.07369,541
curveLM.131,1269.351264,541
curveLM.132,1270.628839,541
curveLM.133,1271.906413,541
curveLM.134,1273.183988,541
curveLM.135,1274.461562,541
curveLM.136,1275.739137,541
curveLM.137,1277.016711,541
curveLM.138,1278.208092,541.2080915
curveLM.139,1279.157647,542
curveLM.140,1280.435221,542
curveLM.141,1281.712796,542
curveLM.142,1282.700297,542.7002975
curveLM.143,1283.853731,543
curveLM.144,1285.131306,543
curveLM.145,1286.40888,543
curveLM.146,1287.485397,543.4853967
curveLM.147,1288.549816,544
curveLM.148,1289.82739,544
curveLM.149,1291.104964,544
curveLM.150,1292.382539,544
curveLM.151,1293.660113,544
curveLM.152,1294.937688,544
curveLM.153,1295.85932,544.8593203
curveLM.154,1297.078623,545
curveLM.155,1298.356198,545
curveLM.156,1299.633772,545
curveLM.157,1300.911347,545
curveLM.158,1302.188921,545
curveLM.159,1303.466496,545
curveLM.160,1304.74407,545
curveLM.161,1306.021645,545
curveLM.162,1307.21158,544.7884201
curveLM.163,1308.16258,544
curveLM.164,1309.440155,544
curveLM.165,1310.507511,543.4924889
curveLM.166,1311.58109,543
curveLM.167,1312.607168,542.3928325
curveLM.168,1313.722025,542
curveLM.169,1314.9996,542
curveLM.170,1315.903099,541.0969013
curveLM.171,1317.099373,540.9006265
curveLM.172,1318.003896,540
curveLM.173,1319.281471,540
curveLM.174,1320.395305,539.6046953
curveLM.175,1321.422406,539
curveLM.176,1322.699981,539
curveLM.177,1323.977555,539
curveLM.178,1325.180404,538.8195961
curveLM.179,1326.118491,538
curveLM.180,1327.396065,538
curveLM.181,1328.673639,538
curveLM.182,1329.951214,538
curveLM.183,1331.161778,538.1617779
curveLM.184,1332.092149,539
curveLM.185,1333.369724,539
curveLM.186,1334.647298,539
curveLM.187,1335.924873,539
curveLM.188,1337.202447,539
curveLM.189,1338.480022,539
curveLM.190,1339.757596,539
curveLM.191,1341.035171,539
curveLM.192,1342.312745,539
curveLM.193,1343.59032,539
curveLM.194,1344.867894,539
curveLM.195,1346.145469,539
curveLM.196,1347.423043,539
curveLM.197,1348.495412,538.5045885
curveLM.198,1349.563979,538
curveLM.199,1350.841553,538
curveLM.200,1352,537.8808724
curveLM.201,1352.396702,537
curveLM.202,1353.674277,537
curveLM.203,1354.951851,537
curveLM.204,1355.869335,536.1306649
curveLM.205,1357.092786,536
curveLM.206,1358.261885,535.7381153
curveLM.207,1359.233722,535
curveLM.208,1360.511296,535
curveLM.209,1361.788871,535
curveLM.210,1362.754091,534.2459093
curveLM.211,1363.929806,534
curveLM.212,1365.14664,533.8533597
curveLM.213,1366.070742,533
curveLM.214,1367.348316,533
curveLM.215,1368.625891,533
curveLM.216,1369.903465,533
curveLM.217,1371.18104,533
curveLM.218,1372.458614,533
curveLM.219,1373.736189,533
curveLM.220,1375.013763,533
curveLM.221,1376.291338,533
curveLM.222,1377.568912,533
curveLM.223,1378.846486,533
curveLM.224,1379.794831,533.7948311
curveLM.225,1380.987422,534
curveLM.226,1382.264996,534
curveLM.227,1383.383656,534.3836555
curveLM.228,1384.405932,535
curveLM.229,1385.683506,535
curveLM.230,1386.679587,535.6795867
curveLM.231,1387.824442,536
curveLM.232,1389.102016,536
curveLM.233,1390.379591,536
curveLM.234,1391.657165,536
curveLM.235,1392.93474,536
curveLM.236,1394.212314,536
curveLM.237,1395.489889,536
curveLM.238,1396.767463,536
curveLM.239,1398.045038,536
curveLM.240,1399.322612,536
curveLM.241,1400.424396,535.575604
curveLM.242,1401.463547,535
curveLM.243,1402.741122,535
curveLM.244,1404.018696,535
curveLM.245,1405.296271,535
curveLM.246,1406.573845,535
curveLM.247,1407.85142,535
curveLM.248,1409.128994,535
