,V1,V2
suture_start,663,555
curveLM.3,664.543958,555.543958
curveLM.4,665.7950227,556.7950227
curveLM.5,667.3389807,557.3389807
curveLM.6,668.5900455,558.5900455
curveLM.7,670.1340034,559.1340034
curveLM.8,671.3850682,560.3850682
curveLM.9,672.6361329,561.6361329
curveLM.10,673.8871977,562.8871977
curveLM.11,675.1955326,564
curveLM.12,676,564.9648054
curveLM.13,677.5190716,565.5190716
curveLM.14,678.7701364,566.7701364
curveLM.15,679.3140943,568.3140943
curveLM.16,680,569.7992557
curveLM.17,680,571.5685284
curveLM.18,680,573.3378012
curveLM.19,680.1070739,575
curveLM.20,681.6196707,575.6196707
curveLM.21,682.1636286,577.1636286
curveLM.22,683.4146934,578.4146934
curveLM.23,684,579.9415242
curveLM.24,685.5026093,580.5026093
curveLM.25,686.0465673,582.0465673
curveLM.26,687.2976321,583.2976321
curveLM.27,688,584.7759745
curveLM.28,689.1310337,586
curveLM.29,690.9003064,586
curveLM.30,692.2553656,587
curveLM.31,694.0246383,587
curveLM.32,695.7939111,587
curveLM.33,697.5631838,587
curveLM.34,698.9421891,586.0578109
curveLM.35,700.6875157,586
curveLM.36,702.3229982,585.6770018
curveLM.37,703.8118477,585
curveLM.38,705.1669068,584
curveLM.39,706.6619789,583.3380211
curveLM.40,707.9130437,582.0869563
curveLM.41,709.1641084,580.8358916
curveLM.42,710.4151732,579.5848268
curveLM.43,711.6662379,578.3337621
curveLM.44,712.2972619,577
curveLM.45,713.0470471,575.9529529
curveLM.46,714,574.5784061
curveLM.47,714.1349631,572.8650369
curveLM.48,715.3860278,571.6139722
curveLM.49,716.6370926,570.3629074
curveLM.50,717.8881573,569.1118427
curveLM.51,719.4321153,568.5678847
curveLM.52,720.6831801,567.3168199
curveLM.53,722.227138,566.772862
curveLM.54,723.4782028,565.5217972
curveLM.55,725.03134,565
curveLM.56,726,564.1993872
curveLM.57,727.4029699,563.5970301
curveLM.58,728.9249447,563
curveLM.59,730.4908859,562.5091141
curveLM.60,732.0492766,562
curveLM.61,733.5788018,561.4211982
curveLM.62,735.1736086,561
curveLM.63,736.6667178,560.3332822
curveLM.64,738.2979405,560
curveLM.65,739.7546337,559.2453663
curveLM.66,741.4222724,559
curveLM.67,743.1354429,558.8645571
curveLM.68,744.5466043,558
curveLM.69,746.2233588,558.2233588
curveLM.70,747.6709363,559
curveLM.71,749.0259954,560
curveLM.72,750.7952682,560
curveLM.73,751.5645409,561
curveLM.74,752.9431487,561.9431487
curveLM.75,754.4871067,562.4871067
curveLM.76,756.0310646,563.0310646
curveLM.77,757.3989912,564
curveLM.78,758.8260874,564.8260874
curveLM.79,760.5233231,565
curveLM.80,761.2925959,566
curveLM.81,763.0437477,566.0437477
curveLM.82,764.4169278,567
curveLM.83,766.1862006,567
curveLM.84,767.9554733,567
curveLM.85,769.724746,567
curveLM.86,771.349324,567.349324
curveLM.87,772.849078,568
curveLM.88,774.43724,568.43724
curveLM.89,775.9734099,569
curveLM.90,777.3284691,570
curveLM.91,779.0977418,570
curveLM.92,780.8670146,570
curveLM.93,782.6362873,570
curveLM.94,784.40556,570
curveLM.95,785.8307322,570.8307322
curveLM.96,787.529892,571
curveLM.97,789.2991647,571
curveLM.98,791.0684375,571
curveLM.99,792,571.8377102
curveLM.100,793.6069829,572
curveLM.101,794.9731597,571.0268403
curveLM.102,796,569.6828987
curveLM.103,796.7681825,568.2318175
curveLM.104,798.0192472,566.9807528
curveLM.105,799.270312,565.729688
curveLM.106,800.737338,565
curveLM.107,802.0653347,563.9346653
curveLM.108,803.4474564,563
curveLM.109,805.1532506,562.8467494
curveLM.110,806.5717883,562
curveLM.111,808.3410611,562
curveLM.112,810.0780178,562.0780178
curveLM.113,811.465393,563
curveLM.114,813.2346657,563
curveLM.115,815.0039385,563
curveLM.116,816.7732112,563
curveLM.117,818.3835941,563.3835941
curveLM.118,819.8975431,564
curveLM.119,821.6668159,564
curveLM.120,823.4360886,564
curveLM.121,825.2053614,564
curveLM.122,826.6891704,563.3108296
curveLM.123,828.3296933,563
curveLM.124,830.098966,563
curveLM.125,831.8682388,563
curveLM.126,833.223298,562
curveLM.127,834.9925707,562
curveLM.128,836.7618435,562
curveLM.129,838.1169026,561
curveLM.130,839,561.8861754
