,V1,V2
suture_start,717,708
curveLM.3,718.1954072,706.8045928
curveLM.4,719.552695,706
curveLM.5,720.8791148,705.1208852
curveLM.6,722.074522,703.925478
curveLM.7,723.3817375,703
curveLM.8,724.7582296,702.2417704
curveLM.9,725.9536368,701.0463632
curveLM.10,727.21078,700
curveLM.11,728,699.0986589
curveLM.12,729.1256448,697.8743552
curveLM.13,730.321052,696.678948
curveLM.14,731,695.2696164
curveLM.15,732.0047596,693.9952404
curveLM.16,733.2001668,692.7998332
curveLM.17,734,691.4405739
curveLM.18,734.8838744,690.1161256
curveLM.19,736.0792816,688.9207184
curveLM.20,737.2746888,687.7253112
curveLM.21,738.470096,686.529904
curveLM.22,739.6655031,685.3344969
curveLM.23,740.8609103,684.1390897
curveLM.24,742.079645,683
curveLM.25,743.5446179,682.4553821
curveLM.26,745.0329184,681.9670816
curveLM.27,746.3229011,681
curveLM.28,747.0134621,680
curveLM.29,748.4978196,679.5021804
curveLM.30,749.6932268,678.3067732
curveLM.31,750.888634,677.111366
curveLM.32,752.0840412,675.9159588
curveLM.33,753,674.6048004
curveLM.34,753.7677488,673.2322512
curveLM.35,754.963156,672.036844
curveLM.36,755.4514564,670.5485436
curveLM.37,756.6468636,669.3531364
curveLM.38,757.135164,667.864836
curveLM.39,758,666.5325018
curveLM.40,758.8188716,665.1811284
curveLM.41,760.4344068,665
curveLM.42,761.1249678,664
curveLM.43,762.576666,663.423334
curveLM.44,763.7720732,662.2279268
curveLM.45,764.9674804,661.0325196
curveLM.46,766.4557808,660.5442192
curveLM.47,767.9209189,660
curveLM.48,769.1394884,658.8605116
curveLM.49,770.3348956,657.6651044
curveLM.50,771.5303028,656.4696972
curveLM.51,773.0186032,655.9813968
curveLM.52,774.2140104,654.7859896
curveLM.53,775.4094176,653.5905824
curveLM.54,776,652.1446486
curveLM.55,777.0931252,650.9068748
curveLM.56,778.2885324,649.7114676
curveLM.57,779,648.3156061
curveLM.58,779.97224,647.02776
curveLM.59,781.1676472,645.8323528
curveLM.60,782,644.4865636
curveLM.61,782.8513548,643.1486452
curveLM.62,784,641.9338686
curveLM.63,784.5350624,640.4649376
curveLM.64,785.7304696,639.2695304
curveLM.65,786.21877,637.78123
curveLM.66,787.4141772,636.5858228
curveLM.67,788.6095844,635.3904156
curveLM.68,789.8049916,634.1950084
curveLM.69,791.293292,633.706708
curveLM.70,792.4886992,632.5113008
curveLM.71,793.9674725,632
curveLM.72,795.1724068,630.8275932
curveLM.73,796.367814,629.632186
curveLM.74,797.5632212,628.4367788
curveLM.75,799.0515216,627.9484784
curveLM.76,800.2469288,626.7530712
curveLM.77,801.4423359,625.5576641
curveLM.78,802.6377431,624.3622569
curveLM.79,803.8331503,623.1668497
curveLM.80,805.0285575,621.9714425
curveLM.81,806,620.6832661
curveLM.82,806.7122651,619.2877349
curveLM.83,807.9076723,618.0923277
curveLM.84,808.3959727,616.6040273
curveLM.85,809.5913799,615.4086201
curveLM.86,810.7867871,614.2132129
curveLM.87,811.2750875,612.7249125
curveLM.88,812.4704947,611.5295053
curveLM.89,813.6659019,610.3340981
curveLM.90,814.8613091,609.1386909
curveLM.91,816.0567163,607.9432837
curveLM.92,817.2521235,606.7478765
curveLM.93,818.4475307,605.5524693
curveLM.94,819.6429379,604.3570621
curveLM.95,821.1855989,604
curveLM.96,822.6195387,603.3804613
curveLM.97,824,602.8474925
curveLM.98,824.8430686,602
curveLM.99,826,601.4663704
curveLM.100,827.2241907,601
curveLM.101,828.6468272,600.3531728
curveLM.102,829.8422344,599.1577656
curveLM.103,831.3305348,598.6694652
curveLM.104,832.7437943,598
curveLM.105,834.0201418,597
curveLM.106,835,596.2892972
curveLM.107,836.2837364,595.7162636
curveLM.108,837.6776114,595
curveLM.109,838.3681725,594
curveLM.110,839.0587335,593
curveLM.111,840,592.2507054
curveLM.112,841,590.9743579
curveLM.113,841.5064321,589.4935679
