,V1,V2
suture_start,1135,619
curveLM.3,1135.925554,618.0744462
curveLM.4,1136.851108,617.1488924
curveLM.5,1137.776661,616.2233387
curveLM.6,1138.702215,615.2977849
curveLM.7,1139.627769,614.3722311
curveLM.8,1140.553323,613.4466773
curveLM.9,1141.478876,612.5211236
curveLM.10,1142.40443,611.5955698
curveLM.11,1143.329984,610.670016
curveLM.12,1144.255538,609.7444622
curveLM.13,1145.256102,609
curveLM.14,1146.399539,608.6004615
curveLM.15,1147.325092,607.6749077
curveLM.16,1148.354467,607
curveLM.17,1149.469093,606.5309069
curveLM.18,1150.394647,605.6053531
curveLM.19,1151.452832,605
curveLM.20,1152.538648,604.4613524
curveLM.21,1153.65648,604
curveLM.22,1154.682648,603.3173516
curveLM.23,1155.860128,603
curveLM.24,1157.119542,602.8804576
curveLM.25,1158.063776,602
curveLM.26,1159.263543,601.7364568
curveLM.27,1160.267423,601
curveLM.28,1161.576354,601
curveLM.29,1162.625991,600.3740091
curveLM.30,1163.780002,600
curveLM.31,1165.062885,599.9371151
curveLM.32,1165.988439,599.0115613
curveLM.33,1167.292581,599
curveLM.34,1168.425333,598.5746673
curveLM.35,1169.496228,598
curveLM.36,1170.805159,598
curveLM.37,1171.78778,597.2122195
curveLM.38,1172.713334,596.2866658
curveLM.39,1173.903524,596
curveLM.40,1175.150228,595.8497718
curveLM.41,1176.107172,595
curveLM.42,1177.416103,595
curveLM.43,1178.512676,594.487324
curveLM.44,1179.61975,594
curveLM.45,1180.928681,594
curveLM.46,1182.237612,594
curveLM.47,1183.546543,594
curveLM.48,1184.855473,594
curveLM.49,1185.823358,594.823358
curveLM.50,1187.059121,595
curveLM.51,1188.368052,595
curveLM.52,1189.676983,595
curveLM.53,1190.985913,595
curveLM.54,1192.294844,595
curveLM.55,1193.603775,595
curveLM.56,1194.912705,595
curveLM.57,1196.221636,595
curveLM.58,1197.530567,595
curveLM.59,1198.839497,595
curveLM.60,1200.148428,595
curveLM.61,1201.457359,595
curveLM.62,1202.76629,595
curveLM.63,1203.760296,595.7602956
curveLM.64,1204.969937,596
curveLM.65,1206.278868,596
curveLM.66,1207.587799,596
curveLM.67,1208.634084,596.6340835
curveLM.68,1209.791447,597
curveLM.69,1211.100377,597
curveLM.70,1212,597.4093081
curveLM.71,1212.718239,598
curveLM.72,1214.019212,598.0192117
curveLM.73,1214.944766,598.9447655
curveLM.74,1216.163213,599.1632125
curveLM.75,1217.088766,600.0887663
curveLM.76,1218,601.0202516
curveLM.77,1218.232767,602.232767
curveLM.78,1219.223899,603
curveLM.79,1220.376768,603.3767678
curveLM.80,1221,604.4275473
curveLM.81,1221.520769,605.5207686
curveLM.82,1222.446322,606.4463224
curveLM.83,1223.525912,607
curveLM.84,1224,607.834843
curveLM.85,1224.80877,608.8087701
curveLM.86,1225.734324,609.7343239
curveLM.87,1226.659878,610.6598777
curveLM.88,1227.585431,611.5854315
curveLM.89,1228.722642,612
curveLM.90,1229.729432,612.7294322
curveLM.91,1230.654986,613.654986
curveLM.92,1231.58054,614.5805398
curveLM.93,1232.506094,615.5060936
curveLM.94,1233.610442,616
curveLM.95,1234.650094,616.6500943
curveLM.96,1235,617.8140894
curveLM.97,1235.794095,618.7940951
curveLM.98,1236.719649,619.7196489
curveLM.99,1237.645203,620.6452027
curveLM.100,1238.807171,621
curveLM.101,1239.082097,622.0820967
curveLM.102,1240.00765,623.0076504
curveLM.103,1240.933204,623.9332042
curveLM.104,1241,625.2144672
curveLM.105,1241.370098,626.3700982
curveLM.106,1242,627.418115
curveLM.107,1242.514099,628.514099
curveLM.108,1243,629.6217629
curveLM.109,1243.6581,630.6580997
curveLM.110,1244,631.8254107
curveLM.111,1244.802101,632.8021005
curveLM.112,1245.020548,634.0205475
curveLM.113,1245.946101,634.9461013
curveLM.114,1246.871655,635.8716551
curveLM.115,1247.090102,637.0901021
curveLM.116,1248,638.0221407
curveLM.117,1248.331071,639
curveLM.118,1249.45255,639.4525498
curveLM.119,1250,640.5347192
curveLM.120,1250.596551,641.5965506
curveLM.121,1251,642.7383671
curveLM.122,1252,643.0472978
curveLM.123,1252.251892,644.2518916
curveLM.124,1253,645.2509456
curveLM.125,1253.559876,646
curveLM.126,1254,646.868807
curveLM.127,1254.832786,647.8327863
curveLM.128,1255.051233,649.0512333
curveLM.129,1255.976787,649.9767871
curveLM.130,1256.902341,650.9023409
curveLM.131,1257.827895,651.8278947
curveLM.132,1258.046342,653.0463417
curveLM.133,1258.971895,653.9718954
curveLM.134,1260,654.2691849
curveLM.135,1260.408789,655.4087894
curveLM.136,1261.334343,656.3343432
curveLM.137,1262,657.3675498
curveLM.138,1262.478344,658.478344
curveLM.139,1263,659.5711977
curveLM.140,1263.880128,660
curveLM.141,1264.840792,660.8407917
curveLM.142,1265.059239,662.0592387
curveLM.143,1265.984793,662.9847925
curveLM.144,1266.20324,664.2032395
curveLM.145,1267,665.1821412
curveLM.146,1267.34724,666.3472403
curveLM.147,1268,667.3857891
curveLM.148,1268.491241,668.4912411
curveLM.149,1269,669.5894369
curveLM.150,1269.635242,670.6352418
curveLM.151,1270,671.7930847
curveLM.152,1270,673.1020154
curveLM.153,1270,674.4109462
curveLM.154,1270,675.7198769
curveLM.155,1270,677.0288076
curveLM.156,1270,678.3377383
curveLM.157,1270,679.646669
curveLM.158,1270,680.9555997
curveLM.159,1270.187051,682.1870512
curveLM.160,1271,683.1592475
curveLM.161,1271,684.4681782
curveLM.162,1271,685.7771089
curveLM.163,1271,687.0860396
curveLM.164,1271,688.3949703
curveLM.165,1271,689.703901
curveLM.166,1270,690.0128317
curveLM.167,1269.77248,691.2275204
curveLM.168,1269,692.2164796
curveLM.169,1268.628479,693.3715212
curveLM.170,1268,694.4201274
curveLM.171,1268,695.7290581
curveLM.172,1267,696.0379888
curveLM.173,1267,697.3469195
curveLM.174,1266.536244,698.4637561
curveLM.175,1266,699.5505674
curveLM.176,1266,700.8594981
curveLM.177,1265.173796,701.8262039
curveLM.178,1265.063146,703
curveLM.179,1266.372077,703
curveLM.180,1267.681007,703
curveLM.181,1268.989938,703
curveLM.182,1270.298869,703
curveLM.183,1271.607799,703
curveLM.184,1272.91673,703
curveLM.185,1273.866673,702.1333269
curveLM.186,1275.08512,701.9148799
curveLM.187,1276.010674,700.9893261
curveLM.188,1276.936228,700.0637724
curveLM.189,1278.154675,699.8453254
curveLM.190,1279.080228,698.9197716
curveLM.191,1280.005782,697.9942178
curveLM.192,1280.931336,697.068664
curveLM.193,1281.85689,696.1431103
curveLM.194,1282.782444,695.2175565
curveLM.195,1283.707997,694.2920027
curveLM.196,1284.633551,693.3664489
curveLM.197,1285.790694,693
curveLM.198,1286.777552,692.2224482
curveLM.199,1287.994342,692
curveLM.200,1288.921553,691.0784474
curveLM.201,1289.847106,690.1528936
curveLM.202,1291.065553,689.9344466
curveLM.203,1291.991107,689.0088928
curveLM.204,1293.296354,689
curveLM.205,1294.605285,689
curveLM.206,1295.914216,689
curveLM.207,1297.223146,689
curveLM.208,1298.532077,689
curveLM.209,1299.841008,689
curveLM.210,1300.813129,688.1868706
curveLM.211,1302.044656,688
curveLM.212,1303.353586,688
curveLM.213,1304.662517,688
curveLM.214,1305.971448,688
curveLM.215,1306.905364,687.0946357
curveLM.216,1308.175096,687
curveLM.217,1309.484026,687
curveLM.218,1310.792957,687
curveLM.219,1311.779152,686.2208477
curveLM.220,1312.996605,686
curveLM.221,1314.216046,686.2160463
curveLM.222,1315.200253,687
curveLM.223,1316.360047,687.3600471
curveLM.224,1317,688.4039006
curveLM.225,1317.504048,689.5040478
curveLM.226,1318,690.6075484
curveLM.227,1318,691.9164791
curveLM.228,1318,693.2254098
curveLM.229,1318.377836,694.3778358
curveLM.230,1319.30339,695.3033896
curveLM.231,1320.228943,696.2289434
curveLM.232,1321.218492,697
curveLM.233,1322.527423,697
curveLM.234,1323.836353,697
curveLM.235,1324.809838,697.8098381
curveLM.236,1326.028285,697.9717149
curveLM.237,1326.953839,697.0461611
curveLM.238,1328.243649,697
curveLM.239,1329.390733,696.6092671
curveLM.240,1330.447297,696
curveLM.241,1331.534734,695.4652663
curveLM.242,1332,694.3490552
curveLM.243,1332.959875,694
curveLM.244,1333.897181,693.1028186
curveLM.245,1334.822735,692.1772648
curveLM.246,1335.748289,691.251711
curveLM.247,1336.673843,690.3261572
curveLM.248,1337.599397,689.4006035
curveLM.249,1338.742392,689
curveLM.250,1339.743397,688.2566027
curveLM.251,1340.94604,688
curveLM.252,1342,687.7450296
curveLM.253,1342.563901,687
curveLM.254,1343.872832,687
curveLM.255,1344.835632,686.1643677
curveLM.256,1346,685.9235203
curveLM.257,1346.38541,685
curveLM.258,1347.490973,684.5090267
curveLM.259,1348.589058,684
curveLM.260,1349.897989,684
curveLM.261,1350.853421,683.146579
curveLM.262,1351.778975,682.2210252
curveLM.263,1352.996354,682
curveLM.264,1353.922976,681.0770244
curveLM.265,1355.141423,680.8585774
curveLM.266,1356.094719,680
curveLM.267,1357.285423,679.7145766
curveLM.268,1358.298367,679
curveLM.269,1359.429424,678.5705759
curveLM.270,1360.502015,678
curveLM.271,1361.573425,677.4265751
curveLM.272,1362.705662,677
curveLM.273,1363.717426,676.2825743
curveLM.274,1364.90931,676
curveLM.275,1365.861426,675.1385736
curveLM.276,1366.78698,674.2130198
curveLM.277,1368.005427,673.9945728
curveLM.278,1368.930981,673.069019
curveLM.279,1370.149428,672.850572
curveLM.280,1371.074982,671.9250182
curveLM.281,1372.000757,671
curveLM.282,1373.218983,670.7810175
curveLM.283,1374.144536,669.8554637
curveLM.284,1375.099122,669
curveLM.285,1376.408053,669
curveLM.286,1377.716984,669
curveLM.287,1378.025914,668
curveLM.288,1379.236771,667.7632287
curveLM.289,1380.229562,667
curveLM.290,1381.380772,666.6192279
curveLM.291,1382.43321,666
curveLM.292,1383.742141,666
curveLM.293,1384.74322,665.2567802
curveLM.294,1385.945789,665
curveLM.295,1387.254719,665
curveLM.296,1388.56365,665
curveLM.297,1389.617008,665.6170078
curveLM.298,1390.767298,666
curveLM.299,1392.076229,666
curveLM.300,1393.272349,666.2723488
curveLM.301,1394.279877,667
curveLM.302,1395.41635,667.4163496
curveLM.303,1396.483524,668
curveLM.304,1397.56035,668.5603503
curveLM.305,1398.687172,669
curveLM.306,1399.996103,669
curveLM.307,1400.922798,669.9227981
curveLM.308,1402.141245,670.1412451
curveLM.309,1403.094468,671
curveLM.310,1404.403399,671
curveLM.311,1405,671.7123293
curveLM.312,1406.015033,672.0150331
curveLM.313,1406.940587,672.9405869
curveLM.314,1408.224908,673
curveLM.315,1409.377481,673.3774809
curveLM.316,1410.428556,674
curveLM.317,1411,673.2625136
curveLM.318,1411.739929,672.2600714
curveLM.319,1412.941134,672
curveLM.320,1413.883929,671.1160706
curveLM.321,1415,670.8552179
curveLM.322,1415.453713,670
curveLM.323,1416.53927,669.4607296
curveLM.324,1417.657361,669
curveLM.325,1418.683271,668.3167289
curveLM.326,1419.861008,668
curveLM.327,1420.827272,667.1727281
curveLM.328,1422.045719,666.9542811
curveLM.329,1422.971273,666.0287273
curveLM.330,1424.18972,665.8102803
curveLM.331,1425.163021,665
curveLM.332,1426.33372,664.6662795
curveLM.333,1427.366669,664
curveLM.334,1428.477721,663.5222788
curveLM.335,1429.570317,663
curveLM.336,1430.879248,663
curveLM.337,1432.133062,662.8669378
curveLM.338,1433.082896,662
curveLM.339,1434.391826,662
curveLM.340,1435.49551,661.50449
curveLM.341,1436.595474,661
curveLM.342,1437.904405,661
curveLM.343,1439.150851,660.849149
curveLM.344,1440.108053,660
curveLM.345,1441.416983,660
curveLM.346,1442.513299,659.4867013
curveLM.347,1443.620631,659
curveLM.348,1444.929562,659
curveLM.349,1445.875747,658.1242535
curveLM.350,1447.13321,658
curveLM.351,1448.31264,657.6873595
curveLM.352,1449.336858,657
curveLM.353,1450.645788,657
curveLM.354,1451.954719,657
curveLM.355,1453.26365,657
curveLM.356,1454.404875,656.5951245
curveLM.357,1455.467298,656
curveLM.358,1456.776228,656
curveLM.359,1458.085159,656
curveLM.360,1459.39409,656
curveLM.361,1460.70302,656
curveLM.362,1462.011951,656
curveLM.363,1463.320882,656
curveLM.364,1464.629812,656
curveLM.365,1465.938743,656
curveLM.366,1467.247674,656
curveLM.367,1468.556605,656
curveLM.368,1469.865535,656
curveLM.369,1471.174466,656
curveLM.370,1472,656.4833967
curveLM.371,1472.792327,657
curveLM.372,1473.778707,657.7787071
curveLM.373,1474.995975,658
curveLM.374,1475.922708,658.9227078
curveLM.375,1477.199623,659
curveLM.376,1478.508554,659
curveLM.377,1479.578049,659.5780488
curveLM.378,1480.712202,660
curveLM.379,1482.014943,659.9850572
curveLM.380,1482.940497,659.0595034
curveLM.381,1484.158944,658.8410564
curveLM.382,1485.084497,657.9155027
curveLM.383,1486,656.9857856
curveLM.384,1486,655.6768549
curveLM.385,1486,654.3679242
curveLM.386,1486.665392,653.3346079
curveLM.387,1487,652.1642763
curveLM.388,1487,650.8553456
curveLM.389,1487,649.5464149
curveLM.390,1487.762516,649
curveLM.391,1488,647.9285535
curveLM.392,1488,646.6196228
curveLM.393,1488.487414,645.5125857
curveLM.394,1489.584025,645
curveLM.395,1490.631415,644.3685849
curveLM.396,1491.787673,644
curveLM.397,1492.775416,643.2245842
curveLM.398,1493,642.0086793
curveLM.399,1494.21231,641.7876902
curveLM.400,1495.194969,641
curveLM.401,1496.356311,640.6436894
curveLM.402,1497.398616,640
curveLM.403,1498.500311,639.4996886
curveLM.404,1499,638.3977357
curveLM.405,1499.911195,638
curveLM.406,1501.155652,637.8443476
curveLM.407,1502.114843,637
curveLM.408,1503.423774,637
curveLM.409,1504.5181,636.4818999
curveLM.410,1505.627421,636
curveLM.411,1506.662101,635.3378991
curveLM.412,1507.831069,635
curveLM.413,1508.806102,634.1938983
curveLM.414,1510.024549,633.9754513
curveLM.415,1510.950102,633.0498976
curveLM.416,1511.875656,632.1243438
curveLM.417,1513.094103,631.9058968
curveLM.418,1514.027799,631
curveLM.419,1515.238104,630.761896
curveLM.420,1516.231447,630
curveLM.421,1517.382105,629.6178952
curveLM.422,1518.435095,629
curveLM.423,1519,628.2559744
curveLM.424,1519.744553,627.2554475
curveLM.425,1520.670106,626.3298937
curveLM.426,1521,625.1576094
curveLM.427,1521,623.8486787
curveLM.428,1521,622.539748
curveLM.429,1521,621.2308173
curveLM.430,1522.078113,621
curveLM.431,1523.273681,621.2736815
curveLM.432,1524.281761,622
curveLM.433,1525.590692,622
curveLM.434,1526.636129,622.6361293
curveLM.435,1527.79434,623
curveLM.436,1529.073023,623.0730232
curveLM.437,1529.998577,623.998577
curveLM.438,1530.924131,624.9241308
curveLM.439,1531.849685,625.8496846
curveLM.440,1533.068132,626.0681316
curveLM.441,1533.993685,626.9936853
curveLM.442,1534.919239,627.9192391
curveLM.443,1535.137686,629.1376861
curveLM.444,1536,630.0894347
curveLM.445,1536,631.3983654
curveLM.446,1536,632.7072961
curveLM.447,1536.011474,634.0114741
curveLM.448,1536.937028,634.9370279
curveLM.449,1537,636.2198747
curveLM.450,1537,637.5288054
curveLM.451,1537,638.8377361
curveLM.452,1537,640.1466668
curveLM.453,1537,641.4555975
curveLM.454,1537.540603,642.5406031
curveLM.455,1538.659245,643
curveLM.456,1539.684604,642.3153962
curveLM.457,1540.862893,642
curveLM.458,1542.171824,642
curveLM.459,1543,641.5192454
curveLM.460,1543.789685,641
curveLM.461,1545,640.901384
curveLM.462,1545.407547,640
curveLM.463,1546.716477,640
curveLM.464,1547.025408,639
curveLM.465,1548.236413,638.7635868
curveLM.466,1549.229056,638
curveLM.467,1550.537987,638
curveLM.468,1551.598861,637.401139
curveLM.469,1552.741634,637
curveLM.470,1554.050565,637
curveLM.471,1555.359496,637
curveLM.472,1556.472649,636.527351
curveLM.473,1557.563144,636
curveLM.474,1558.872074,636
curveLM.475,1560.12799,636.12799
curveLM.476,1561.075722,637
curveLM.477,1562.271991,637.2719907
curveLM.478,1563.27937,638
curveLM.479,1564.415992,638.4159915
curveLM.480,1565.341545,639.3415453
curveLM.481,1566.267099,640.2670991
curveLM.482,1567.192653,641.1926528
curveLM.483,1568.118207,642.1182066
curveLM.484,1569.061887,643
curveLM.485,1570.262207,643.2622074
curveLM.486,1571.265534,644
curveLM.487,1572.574465,644
curveLM.488,1573.624655,644.6246552
curveLM.489,1574.778113,645
curveLM.490,1576.061549,644.9384509
curveLM.491,1576.987103,644.0128971
curveLM.492,1578.20555,644.2055499
curveLM.493,1579,645.1854086
curveLM.494,1579.349551,646.3495507
curveLM.495,1580.275104,647.2751045
curveLM.496,1581,648.2837736
curveLM.497,1581.592704,649
curveLM.498,1582,649.901635
curveLM.499,1582.855999,650.8559992
curveLM.500,1583.781553,651.781553
suture_end,1584,653
