,V1,V2
suture_start,857,402
curveLM.3,857,402.7473079
curveLM.4,857.3497462,403.3497462
curveLM.5,857.8781727,403.8781727
curveLM.6,858,404.575018
curveLM.7,858,405.3223259
curveLM.8,858,406.0696338
curveLM.9,858,406.8169417
curveLM.10,858.3989847,407.3989847
curveLM.11,858.9274112,407.9274112
curveLM.12,859,408.6446518
curveLM.13,859,409.3919597
curveLM.14,859,410.1392676
curveLM.15,859,410.8865755
curveLM.16,859,411.6338833
curveLM.17,859,412.3811912
curveLM.18,859,413.1284991
curveLM.19,859,413.875807
curveLM.20,859,414.6231149
curveLM.21,859,415.3704228
curveLM.22,859,416.1177307
curveLM.23,859,416.8650386
curveLM.24,859,417.6123465
curveLM.25,859,418.3596544
curveLM.26,859,419.1069623
curveLM.27,859,419.8542702
curveLM.28,859,420.601578
curveLM.29,859,421.3488859
curveLM.30,858.9319807,422.0680193
curveLM.31,858.4035542,422.5964458
curveLM.32,858,423.176596
curveLM.33,858,423.9239039
curveLM.34,858,424.6712118
curveLM.35,857.7040619,425.2959381
curveLM.36,857.1756354,425.8243646
curveLM.37,857,426.4989219
curveLM.38,856.8258892,427.1741108
curveLM.39,856.2974627,427.7025373
curveLM.40,856,428.326632
curveLM.41,855.9477166,429.0522834
curveLM.42,855.4192901,429.5807099
curveLM.43,854.8456578,430
curveLM.44,854.09835,430
curveLM.45,853.5411174,430.4588826
curveLM.46,853.012691,430.987309
curveLM.47,852.4842645,431.5157355
curveLM.48,851.9375455,432
curveLM.49,851.1902376,432
curveLM.50,850.6060918,432.3939082
curveLM.51,850.0776654,432.9223346
curveLM.52,849.5492389,433.4507611
curveLM.53,849.0208124,433.9791876
curveLM.54,848.4923859,434.5076141
curveLM.55,847.9639594,435.0360406
curveLM.56,847.435533,435.564467
curveLM.57,846.9071065,436.0928935
curveLM.58,846.37868,436.62132
curveLM.59,845.8502535,437.1497465
curveLM.60,845.3218271,437.6781729
curveLM.61,845,438.2921757
curveLM.62,845,439.0394836
curveLM.63,845,439.7867915
curveLM.64,844.6223347,440.3776653
curveLM.65,844.0939082,440.9060918
curveLM.66,844,441.6145016
curveLM.67,844,442.3618095
curveLM.68,844,443.1091174
curveLM.69,844,443.8564253
curveLM.70,844,444.6037332
curveLM.71,843.7517765,445.2482235
curveLM.72,843.22335,445.77665
curveLM.73,843,446.4314433
curveLM.74,843,447.1787512
curveLM.75,843,447.926059
curveLM.76,843,448.6733669
curveLM.77,843,449.4206748
curveLM.78,843,450.1679827
curveLM.79,843,450.9152906
curveLM.80,843,451.6625985
curveLM.81,843,452.4099064
curveLM.82,842.8888327,453.1111673
curveLM.83,842.3604062,453.6395938
curveLM.84,841.7623835,454
curveLM.85,841.0150756,454
curveLM.86,840.4822336,454.5177664
curveLM.87,839.9346734,455
curveLM.88,839.1873655,455
curveLM.89,838.6040609,455.3959391
curveLM.90,838.0756345,455.9243655
curveLM.91,837.3596554,456
curveLM.92,836.7258883,456.2741117
curveLM.93,836.1974618,456.8025382
curveLM.94,835.5319453,457
curveLM.95,834.8477156,457.1522844
curveLM.96,834.3192892,457.6807108
curveLM.97,833.7042352,458
curveLM.98,832.969543,458.030457
curveLM.99,832.4411165,458.5588835
curveLM.100,831.8765251,459
curveLM.101,831.1292172,459
curveLM.102,830.5629439,459.4370561
curveLM.103,830.0345174,459.9654826
curveLM.104,829.5060909,460.4939091
curveLM.105,828.9776644,461.0223356
curveLM.106,828.4492379,461.5507621
curveLM.107,828,462.1119895
curveLM.108,828,462.8592974
curveLM.109,827.5710653,463.4289347
curveLM.110,827.0426388,463.9573612
curveLM.111,827,464.6870075
curveLM.112,826.5656846,465
curveLM.113,826,465.1816233
curveLM.114,826,465.9289312
curveLM.115,825.5218268,466.4781732
curveLM.116,824.9934003,467.0065997
curveLM.117,824.4649738,467.5350262
curveLM.118,823.9365473,468.0634527
curveLM.119,823.4081209,468.5918791
curveLM.120,822.8796944,469.1203056
curveLM.121,822.3512679,469.6487321
curveLM.122,821.8228414,470.1771586
curveLM.123,821.294415,470.705585
curveLM.124,820.7659885,471.2340115
curveLM.125,820.237562,471.762438
curveLM.126,819.7091355,472.2908645
curveLM.127,819.180709,472.819291
curveLM.128,818.6522826,473.3477174
curveLM.129,818.1238561,473.8761439
curveLM.130,817.4278511,474
curveLM.131,816.7741099,474.2258901
curveLM.132,816.2456834,474.7543166
curveLM.133,815.600141,475
curveLM.134,814.8959373,475.1040627
curveLM.135,814.3675108,475.6324892
curveLM.136,814,476.2275691
curveLM.137,814,476.974877
curveLM.138,813.2778151,477
curveLM.139,812.6680184,477.3319816
curveLM.140,812.139592,477.860408
curveLM.141,811.450105,478
curveLM.142,810.7898458,478.2101542
curveLM.143,810.2614193,478.7385807
curveLM.144,809.6223948,479
curveLM.145,808.9116731,479.0883269
curveLM.146,808.3832467,479.6167533
curveLM.147,807.7946847,480
curveLM.148,807.0473768,480
curveLM.149,806.505074,480.494926
curveLM.150,805.9669746,481
curveLM.151,805.2196667,481
curveLM.152,804.6269014,481.3730986
curveLM.153,804.0984749,481.9015251
curveLM.154,803.3919566,482
curveLM.155,802.6446487,482
curveLM.156,801.927409,482.072591
curveLM.157,801.3989825,482.6010175
curveLM.158,801,483.1830614
curveLM.159,801,483.9303693
curveLM.160,801.4791901,484.4791901
curveLM.161,802,485.0107715
curveLM.162,802,485.7580794
curveLM.163,802,486.5053873
curveLM.164,802.1786825,487.1786825
curveLM.165,802.7071089,487.7071089
curveLM.166,803,488.3330974
