,V1,V2
suture_start,628,598
curveLM.3,629.8980012,598
curveLM.4,631.5628587,597.4371413
curveLM.5,633.27979,597
curveLM.6,635.1257174,596.8742826
curveLM.7,636.6615789,596
curveLM.8,638.5595801,596
curveLM.9,640.0433677,595
curveLM.10,641.9413689,595
curveLM.11,643.4251565,594
curveLM.12,645.228507,593.771493
curveLM.13,646.8069454,593
curveLM.14,648.4984725,592.5015275
curveLM.15,650.1334552,591.8665448
curveLM.16,651.6725218,591
curveLM.17,653,590.429477
curveLM.18,654.4685242,590
curveLM.19,655.9662794,589.0337206
curveLM.20,657.6012621,588.3987379
curveLM.21,659.2362449,587.7637551
curveLM.22,660.8178883,587
curveLM.23,662.3016759,586
curveLM.24,664.1996771,586
curveLM.25,666.0976783,586
curveLM.26,667.7040517,585.2959483
curveLM.27,669.4794672,585
curveLM.28,671.3774684,585
curveLM.29,672.9018932,584.0981068
curveLM.30,674.7592572,584
curveLM.31,676.6572584,584
curveLM.32,678,583.4447404
curveLM.33,679.4532608,583
curveLM.34,681.2483797,582.7516203
curveLM.35,682.8350496,582
curveLM.36,684.7330508,582
curveLM.37,686.2168384,581
curveLM.38,688.0812039,580.9187961
curveLM.39,689.5986273,580
curveLM.40,691.4966285,580
curveLM.41,693.3946297,580
curveLM.42,695.2926309,580
curveLM.43,697.1906321,580
curveLM.44,699.0886333,580
curveLM.45,700.9866345,580
curveLM.46,702.8846357,580
curveLM.47,704.7826368,580
curveLM.48,706.2664245,581
curveLM.49,708.1644257,581
curveLM.50,710.0441425,581.0441425
curveLM.51,711.5462145,582
curveLM.52,713.4442157,582
curveLM.53,715.3422169,582
curveLM.54,717.2402181,582
curveLM.55,719.1382193,582
curveLM.56,721.0362205,582
curveLM.57,722.9342217,582
curveLM.58,724.4180093,581
curveLM.59,726.2234532,580.7765468
curveLM.60,727.7997982,580
curveLM.61,728.6977994,579
curveLM.62,730.181587,578
curveLM.63,731.7633841,577.2366159
curveLM.64,733.3983669,576.6016331
curveLM.65,735.0471635,576
curveLM.66,736.6683323,575.3316677
curveLM.67,738.4289523,575
curveLM.68,740.231191,574.768809
curveLM.69,741.8107411,574
curveLM.70,743.7087423,574
curveLM.71,745.6067435,574
curveLM.72,747.5047447,574
curveLM.73,749.2847844,573.7152156
curveLM.74,750.8865335,573
curveLM.75,752.7845347,573
curveLM.76,754.6825359,573
curveLM.77,756.5805371,573
curveLM.78,758.0643248,572
curveLM.79,759.962326,572
curveLM.80,761.8603272,572
curveLM.81,763.5362191,571.4637809
curveLM.82,765.242116,571
curveLM.83,767.0990778,570.9009222
curveLM.84,768.6239048,570
curveLM.85,770,569.478094
curveLM.86,771.4199072,569
curveLM.87,773,568.6820916
curveLM.88,774.2159096,568
curveLM.89,775.7876539,567.2123461
curveLM.90,777.4226366,566.5773634
curveLM.91,779.0814861,566
curveLM.92,780.6926021,565.3073979
curveLM.93,782.3275848,564.6724152
curveLM.94,783.9470625,564
curveLM.95,785.5975503,563.4024497
curveLM.96,787.3288514,563
curveLM.97,788.2268526,562
curveLM.98,790.0882849,561.9117151
curveLM.99,791.6086414,561
curveLM.100,793.3582504,560.6417496
curveLM.101,794.9904302,560
curveLM.102,796.6282159,559.3717841
curveLM.103,798.372219,559
curveLM.104,800,558.7297798
curveLM.105,801.1682214,558
curveLM.106,803.0468265,557.9531735
curveLM.107,804.5500103,557
curveLM.108,806.4480115,557
curveLM.109,807.9517747,556.0482253
curveLM.110,809.8298003,556
curveLM.111,811.5146334,555.4853666
curveLM.112,813.2115891,555
curveLM.113,815.0774921,554.9225079
curveLM.114,816.593378,554
curveLM.115,818.4913792,554
curveLM.116,819.9824403,553.0175597
curveLM.117,821.873168,553
curveLM.118,823.3569556,552
curveLM.119,825.1802817,551.8197183
curveLM.120,826.7387445,551
curveLM.121,828.4502472,550.5497528
curveLM.122,830.0852299,549.9147701
curveLM.123,831.6043209,549
curveLM.124,833.0881086,548
curveLM.125,834.9861098,548
curveLM.126,836.4698974,547
curveLM.127,837.9672504,546.0327496
curveLM.128,839.8516862,546
curveLM.129,841.3354738,545
curveLM.130,842.8721986,544.1278014
curveLM.131,844.7172627,544
curveLM.132,846.2010503,543
curveLM.133,848.07004,542.92996
curveLM.134,849.5828391,542
curveLM.135,851.4808403,542
curveLM.136,852.9749882,541.0250118
curveLM.137,854.8626292,541
curveLM.138,856.3464168,540
curveLM.139,858.244418,540
curveLM.140,860.1424192,540
curveLM.141,862.0404204,540
curveLM.142,863.9384216,540
curveLM.143,865.8364228,540
curveLM.144,867.734424,540
curveLM.145,869.6324252,540
curveLM.146,871.5304264,540
curveLM.147,873.4284276,540
curveLM.148,875.3264288,540
curveLM.149,877.22443,540
curveLM.150,879.1224312,540
curveLM.151,881.0144479,539.9855521
curveLM.152,882.50422,539
curveLM.153,884.4022212,539
curveLM.154,886.3002224,539
curveLM.155,887.847272,538.152728
curveLM.156,889.6820112,538
curveLM.157,891.5800124,538
curveLM.158,893.0638001,537
curveLM.159,894.9618012,537
curveLM.160,896.6079721,536.3920279
curveLM.161,898.3435901,536
curveLM.162,900.1708308,535.8291692
curveLM.163,901.7253789,535
curveLM.164,903.6233801,535
curveLM.165,905.5213813,535
curveLM.166,907.0051689,534
curveLM.167,908.9031701,534
curveLM.168,910.8011713,534
curveLM.169,912.6991725,534
curveLM.170,914.4222656,533.5777344
curveLM.171,916.0809614,533
curveLM.172,917.9789626,533
curveLM.173,919.8769638,533
curveLM.174,921.7749649,533
curveLM.175,923.4758589,532.5241411
curveLM.176,925.1567538,532
curveLM.177,927.054755,532
curveLM.178,928.9527562,532
curveLM.179,930.4365438,533
curveLM.180,932.334545,533
curveLM.181,934.2325462,533
curveLM.182,935.7994177,533.7994177
curveLM.183,937.614335,534
curveLM.184,939.0981227,535
curveLM.185,940.9961239,535
curveLM.186,942.4799115,534
curveLM.187,943.9743314,533.0256686
curveLM.188,945.6093141,532.3906859
curveLM.189,947.2442969,531.7557031
curveLM.190,948.8292756,531
curveLM.191,950.5142624,530.4857376
curveLM.192,952.1492451,529.8507549
curveLM.193,953.6948521,529
curveLM.194,955.1786397,528
curveLM.195,957.0766409,528
curveLM.196,958.9746421,528
curveLM.197,960.4584297,527
curveLM.198,962.3564309,527
curveLM.199,964.2544321,527
curveLM.200,966.1077866,526.8922134
curveLM.201,967.6362209,526
curveLM.202,969.5342221,526
curveLM.203,971.4322233,526
curveLM.204,973,525.6697755
curveLM.205,974.2282257,525
curveLM.206,976.1262269,525
curveLM.207,978.0171319,524.9828681
curveLM.208,979.5080158,524
curveLM.209,981.406017,524
curveLM.210,982.9220801,523.0779199
curveLM.211,984,522.2121942
curveLM.212,985.685807,522
curveLM.213,987.1695946,521
curveLM.214,989.0477975,520.9522025
curveLM.215,990.5513834,520
curveLM.216,992.3177629,519.6822371
curveLM.217,993.9331723,519
curveLM.218,995.4169599,518
curveLM.219,997.3149611,518
curveLM.220,999.1505871,517.8494129
curveLM.221,1000.69675,517
curveLM.222,1002.594751,517
curveLM.223,1003.492752,516
curveLM.224,1005.390754,516
curveLM.225,1006.288755,515
curveLM.226,1008.186756,515
curveLM.227,1009.767039,514.2329609
curveLM.228,1011.568545,514
curveLM.229,1013.052332,513
curveLM.230,1014.950334,513
curveLM.231,1016.599863,512.4001367
curveLM.232,1018.332122,512
curveLM.233,1020.230124,512
curveLM.234,1022.090598,511.9094021
curveLM.235,1023.611912,511
curveLM.236,1025.509914,511
curveLM.237,1027.407915,511
curveLM.238,1029.216315,510.7836847
curveLM.239,1030.789704,510
curveLM.240,1032.687705,510
curveLM.241,1034.585706,510
curveLM.242,1036.342033,509.6579673
curveLM.243,1037.967495,509
curveLM.244,1039.865496,509
curveLM.245,1041.763497,509
curveLM.246,1043.661498,509
curveLM.247,1045.395626,508.604374
curveLM.248,1047.043287,508
curveLM.249,1048.941289,508
curveLM.250,1050.83929,508
curveLM.251,1052.737291,508
curveLM.252,1054.449219,507.5507806
curveLM.253,1056.11908,507
curveLM.254,1058.012078,506.987922
curveLM.255,1059.500869,506
curveLM.256,1061.39887,506
curveLM.257,1063.296871,506
curveLM.258,1064.844902,505.1550978
curveLM.259,1066.67866,505
curveLM.260,1068.576661,505
curveLM.261,1070.474662,505
curveLM.262,1072,504.6273366
curveLM.263,1073.270665,504
curveLM.264,1075.168666,504
curveLM.265,1077.066667,504
curveLM.266,1078.682123,503.3178766
curveLM.267,1080.448456,503
curveLM.268,1082.346457,503
curveLM.269,1084.172858,502.827142
curveLM.270,1085.728246,502
curveLM.271,1087.626247,502
curveLM.272,1089.524248,502
curveLM.273,1091.422249,502
curveLM.274,1092.933558,501.0664418
curveLM.275,1094.804038,501
curveLM.276,1096.702039,501
curveLM.277,1098.600041,501
curveLM.278,1100.498042,501
curveLM.279,1102.396043,501
curveLM.280,1104.207921,500.7920793
curveLM.281,1105.777832,500
curveLM.282,1107.675833,500
curveLM.283,1109.159621,499
curveLM.284,1111.057622,499
curveLM.285,1112.675728,498.3242724
curveLM.286,1114.31071,497.6892897
curveLM.287,1115.923198,497
curveLM.288,1117,496.1788004
curveLM.289,1118.508552,495.4914483
curveLM.290,1120.143534,494.8564655
curveLM.291,1121.686776,494
curveLM.292,1123.4135,493.5865001
curveLM.293,1125.068565,493
curveLM.294,1126.966566,493
curveLM.295,1128.611341,492.3886586
curveLM.296,1130.348355,492
curveLM.297,1132.246356,492
curveLM.298,1134.144357,492
curveLM.299,1136.042358,492
curveLM.300,1137.94036,492
curveLM.301,1139.838361,492
curveLM.302,1141.736362,492
curveLM.303,1143.634363,492
curveLM.304,1145.532364,492
curveLM.305,1147.304314,491.6956855
