,V1,V2
suture_start,188,682
curveLM.3,189.1901376,682.1901376
curveLM.4,190.1235769,683
curveLM.5,191.2775197,683.2775197
curveLM.6,192.2471538,684
curveLM.7,193.3649017,684.3649017
curveLM.8,194.3707306,685
curveLM.9,195.6396259,685
curveLM.10,196.6424214,685.6424214
curveLM.11,197.7632027,686
curveLM.12,198.7298035,686.7298035
curveLM.13,199.8867796,687
curveLM.14,201.1100787,687.1100787
curveLM.15,202.0103565,688
curveLM.16,203.2792517,688
curveLM.17,204.3875984,688.3875984
curveLM.18,205.4028286,689
curveLM.19,206.6717238,689
curveLM.20,207.6651181,688.3348819
curveLM.21,208.7953007,688
curveLM.22,210.0641959,688
curveLM.23,211.3330912,688
curveLM.24,212.6019864,688
curveLM.25,213.8708816,688
curveLM.26,215.1397768,688
curveLM.27,216.408672,688
curveLM.28,217.6775673,688
curveLM.29,218.9464625,688
curveLM.30,219.8593877,688.8593877
curveLM.31,221.0700394,689
curveLM.32,222.2396629,689.2396629
curveLM.33,223.1936162,690
curveLM.34,224.4625115,690
curveLM.35,225.5171826,689.4828174
curveLM.36,226.5860883,689
curveLM.37,227.8549836,689
curveLM.38,229.0875955,688.9124045
curveLM.39,229.9848399,688.0151601
curveLM.40,231.2474557,688
curveLM.41,232.5163509,688
curveLM.42,233.7852461,688
curveLM.43,235.0382837,687.9617163
curveLM.44,235.9355281,687.0644719
curveLM.45,237.1777182,687
curveLM.46,238.4466134,687
curveLM.47,239.7155087,687
curveLM.48,240.9844039,687
curveLM.49,242.2532991,687
curveLM.50,243.5221943,687
curveLM.51,244.7910895,687
curveLM.52,245.7495224,687.7495224
curveLM.53,246.9146664,688
curveLM.54,248.1835616,688
curveLM.55,249.4524569,688
curveLM.56,250.7213521,688
curveLM.57,251.9902473,688
curveLM.58,253.2591425,688
curveLM.59,254.5280378,688
curveLM.60,255.796933,688
curveLM.61,257.0658282,688
curveLM.62,258.2366852,687.7633148
curveLM.63,259.1894051,687
curveLM.64,260.4583003,687
curveLM.65,261.5142049,686.4857951
curveLM.66,262.5818772,686
curveLM.67,263.8507724,686
curveLM.68,264.7917246,685.2082754
curveLM.69,265.9743493,685
curveLM.70,267.2432445,685
curveLM.71,268.5121397,685
curveLM.72,269.7810349,685
curveLM.73,270.7424127,684.2575873
curveLM.74,271.9046118,684
curveLM.75,273.173507,684
curveLM.76,274.4424023,684
curveLM.77,275.5029633,683.4970367
curveLM.78,276.5659792,683
curveLM.79,277.5903453,682.4096547
curveLM.80,278.689556,682
curveLM.81,279.9584513,682
curveLM.82,280.867865,681.132135
curveLM.83,282.0820281,681
curveLM.84,283.2481403,680.7518597
curveLM.85,284.205605,680
curveLM.86,285.4745002,680
curveLM.87,286.7433955,680
curveLM.88,288.0086908,679.9913092
curveLM.89,288.9059352,679.0940648
curveLM.90,290.1358676,679
curveLM.91,291.4047628,679
curveLM.92,292.673658,679
curveLM.93,293.9425532,679
curveLM.94,295.2114484,679
curveLM.95,296.4803437,679
curveLM.96,297.7492389,679
curveLM.97,299.0181341,679
curveLM.98,300.2870293,679
curveLM.99,301.5559246,679
curveLM.100,302.8248198,679
curveLM.101,304.093715,679
curveLM.102,305.3626102,679
curveLM.103,306.6315054,679
curveLM.104,307.9004007,679
curveLM.105,309.1692959,679
curveLM.106,310.4381911,679
curveLM.107,311.4999855,678.5000145
curveLM.108,312.561768,678
curveLM.109,313.8306632,678
curveLM.110,315.0703984,677.9296016
curveLM.111,315.9676429,677.0323571
curveLM.112,317.2231353,677
curveLM.113,318.4920305,677
curveLM.114,319.5380558,676.4619442
curveLM.115,320.6156074,676
curveLM.116,321.8845026,676
curveLM.117,322.8155754,675.1844246
curveLM.118,324.0080795,675
curveLM.119,325.2769747,675
curveLM.120,326.3859883,675.3859883
curveLM.121,327.4005516,676
curveLM.122,328.6694468,676
curveLM.123,329.9383421,676
curveLM.124,331.1465389,676.1465389
curveLM.125,332.0619189,677
curveLM.126,333.3308142,677
curveLM.127,334.5997094,677
curveLM.128,335.8686046,677
curveLM.129,337.1374998,677
curveLM.130,338.2873647,677.2873647
curveLM.131,339.2610767,678
curveLM.132,340.5299719,678
curveLM.133,341.7988672,678
curveLM.134,343.0479152,677.9520848
curveLM.135,343.9451596,677.0548404
curveLM.136,344.8424041,676.1575959
curveLM.137,345.7396485,675.2603515
curveLM.138,346.9007026,675
curveLM.139,347.8270305,674.1729695
curveLM.140,349.0242795,674
curveLM.141,350.2931747,674
curveLM.142,351.5620699,674
curveLM.143,352.8309651,674
curveLM.144,354.0998603,674
curveLM.145,355.3687556,674
curveLM.146,356.6376508,674
curveLM.147,357.906546,674
curveLM.148,358.8311625,673.1688375
curveLM.149,360.0301229,673
curveLM.150,361.2114377,672.7885623
curveLM.151,362.1536998,672
curveLM.152,363.422595,672
curveLM.153,364.6914902,672
curveLM.154,365.9603854,672
curveLM.155,367.1621259,671.8378741
curveLM.156,368.0839623,671
curveLM.157,369.3528575,671
curveLM.158,370.6217528,671
curveLM.159,371.890648,671
curveLM.160,373.1595432,671
curveLM.161,374.4284384,671
curveLM.162,375.6973336,671
curveLM.163,376.9662289,671
curveLM.164,378.2351241,671
curveLM.165,379.5040193,671
curveLM.166,380.7729145,671
curveLM.167,382.0418097,671
curveLM.168,383.310705,671
curveLM.169,384.5796002,671
curveLM.170,385.8484954,671
curveLM.171,387.1173906,671
curveLM.172,388.3862859,671
curveLM.173,389.463283,670.536717
curveLM.174,390.5098627,670
curveLM.175,391.778758,670
curveLM.176,393.0336959,669.9663041
curveLM.177,393.9309403,669.0690597
curveLM.178,395.1712301,669
curveLM.179,396.4401253,669
curveLM.180,397.7090205,669
curveLM.181,398.6914908,668.3085092
curveLM.182,399.8325974,668
curveLM.183,401.1014926,668
curveLM.184,402,667.6296122
curveLM.185,402.639283,667
curveLM.186,403.9081783,667
curveLM.187,405.1770735,667
curveLM.188,406.3153475,666.6846525
curveLM.189,407.3006504,666
