Adapis magnus
Adinotherium robustum
Aepyceros melampus
Agouti paca
Allodesmus gracilis
Antilocapra americana
Aotus trivirgatus
Aplodontia rufa
Archaelurus debilis
Archaeohyrax patagonicus
Archaeolemur edwardsi
Archaeotherium mortoni
Arctodyctis cf sinclairi
Arsinoitherium zitelli
Ateles belzebuth
Balaena mysticetus
Balaenoptera musculus
Borhyaena tubercata
Cainotherium laticurvatum
Calomyscus baluchi
Canis dirus
Caperea marginata
Capricornis sumatrensis
Castoroides ohioensis
Cavia australis
Cervus elaphus
Chaeropus ecaudatus
Cheirogaleus medius
Clyomys laticeps
Cormohipparion occidentale
Cricetomys gambianus
Cricetomys gambianus 2
Ctenomys latro
Cuniculus_paca
Dacrytherium sp
Dasypus novemictus
Delphinoidea ind
Salpintogulus grassicauda
Dorudon
Elotherium sp
Eotheroides libyca
Euhapsis ellicottae
Glaucomys sabrinus
Hippotragus equinus
Homocamelus caninus
Homotherium sp
Hyaenodon crucians
Hyracodon nebraskensis
Iomys horsfieldii
Janjucetus
Kobus ellipsiprymnus
Kogia breviceps
Lagostrophus fasciatus
Lestodon
Macrotis lagotis
Megaladapis edwardsi
Metoreodon profectus
Microtus ochrogaster
Muntiacus muntjack
Rattus norvegicus
Myocastor coypus
Mystromys albicaudatus
Neoparadoxia cecilialina
Brachyuromys betsi
Eliurus myoxi
Pedetes capensis
Pteronarctos goedertae
Ratufa affinis
Rhinolophus acuminatus
Saimiri sciureus
Sigmodon hispidus
Sirenian
Sthenurus andersoni
Tarsius tarsier
Thalassocnus littoralis
Thryonomys swinderianus
Thylacinus cynocephalus
Thylacosmilus sp
Tragelaphus scriptus
