Species,FD_box,FD_madogram,PSD,SI,SCI
Adapis magnus,1.076069295,1.474941159,1.479542547,1.101959087,1.212154996
Adinotherium robustum,1.072859858,1.463564574,1.509389234,1.362128195,2.86046921
Aepyceros melampus,1.068238647,1.477995844,1.470648929,1.100716024,1.430930831
Agouti paca,1.081003829,1.525471551,1.602294517,1.275019743,1.530023691
Allodesmus gracilis,1.065671322,1.515203143,1.461472793,1.287802683,7.469255564
Antilocapra americana,1.102399335,1.508146862,1.523609298,1.229353787,2.704578332
Aotus trivirgatus,1.119827881,1.610237078,1.490449235,4.510910038,87.96274573
Aplodontia rufa,1.095883124,1.585973226,1.587806882,2.193985983,21.50106263
Archaelurus debilis,1.06499959,1.460809641,1.461000136,1.047801469,0.628680881
Archaeohyrax patagonicus,1.099682716,1.532753821,1.505935388,1.361385701,8.985145624
Archaeolemur edwardsi,1.100132141,1.488593338,1.475686045,1.100092403,0.770064682
Archaeotherium mortoni,1.094222656,1.481498768,1.486630176,1.092150653,1.201365718
Arctodyctis cf sinclairi,1.078004253,1.506313383,1.496877553,1.452932847,7.845837374
Arsinoitherium zitelli,1.093225306,1.467112411,1.472398888,1.107766681,0.775436677
Ateles belzebuth,1.080902939,1.469729743,1.49744942,1.276081156,5.359540857
Balaena mysticetus,1.083014168,1.465841557,1.46229226,1.069030185,0.855224148
Balaenoptera musculus,1.067799143,1.464340845,1.459761671,1.024264727,0.204852945
Borhyaena tubercata,1.088947095,1.499883297,1.496612443,1.220183844,7.443121446
Cainotherium laticurvatum,1.060650404,1.464705245,1.462760839,1.061388409,1.592082614
Calomyscus baluchi,1.089360732,1.491572215,1.517549588,1.144307726,2.174184679
Canis dirus,1.099417251,1.471056102,1.455782813,1.09827393,2.196547861
Caperea marginata,1.099146335,1.500095204,1.484702552,1.114410795,3.454673465
Capricornis sumatrensis,1.078852679,1.456119939,1.463104478,1.0686898,0.42747592
Castoroides ohioensis,1.091932907,1.491897858,1.534030428,1.622526669,13.14246602
Cavia australis,1.079472668,1.517483656,1.506263452,1.462295017,9.651147115
Cervus elaphus,1.102263196,1.476663586,1.477210645,1.09549635,0.87639708
Chaeropus ecaudatus,1.082896026,1.507248432,1.622892144,1.333888832,2.53438878
Cheirogaleus medius,1.081301261,1.529833793,1.612554275,1.611986702,11.28390691
Clyomys laticeps,1.088463988,1.595152285,1.670005237,1.592558842,4.14065299
Cormohipparion occidentale,1.099194972,1.452139406,1.448873683,1.141326619,2.625051223
Cricetomys gambianus,1.099351922,1.618079374,1.786077,4.860896644,70.48300134
Cricetomys gambianus,1.099060418,1.527480652,1.548975609,2.036384722,22.19659347
Ctenomys latro,1.072639023,1.476353636,1.464884873,1.101201022,1.321441226
Cuniculus_paca,1.073482718,1.469983792,1.474786509,1.134323659,3.062673879
Dacrytherium sp,1.079878442,1.588087366,1.628129558,1.35632389,2.577015391
Dasypus novemictus,1.095615071,1.545132377,1.523092039,1.426080694,6.274755056
Delphinoidea ind,1.095120525,1.4607115,1.476511741,1.041066303,0.520533152
Salpintogulus grassicauda,1.070182019,1.476941656,1.46520856,1.146930114,3.440790342
Dorudon,1.065960442,1.461457314,1.458589177,1.053699938,1.159069931
Elotherium sp,1.09068873,1.462996446,1.455289084,1.065414348,1.171955783
Eotheroides libyca,1.093435395,1.513919006,1.49740068,1.191831903,2.264480615
Euhapsis ellicottae,1.09524232,1.476962682,1.49928752,1.17736233,1.530571029
Glaucomys sabrinus,1.095430772,1.547208493,1.499411838,1.33413053,6.537239595
Hippotragus equinus,1.093825908,1.466170455,1.461153057,1.078164163,1.293796996
Homocamelus caninus,1.077572092,1.514568883,1.500092514,1.224559452,2.694030794
Homotherium sp,1.118682151,1.656507918,1.927541382,2.058252105,4.939805053
Hyaenodon crucians,1.088438569,1.474674056,1.461809297,1.068204096,1.388665324
Hyracodon nebraskensis,1.068762657,1.463080467,1.457896815,1.044216099,1.253059319
Iomys horsfieldii,1.131278555,1.61045078,1.696664821,2.43878449,25.60723715
Janjucetus,1.080181006,1.516500239,1.466018942,1.254472565,5.394232028
Kobus ellipsiprymnus,1.062448637,1.463948198,1.463428781,1.044742055,0.835793644
Kogia breviceps,1.054838618,1.491941837,1.468997741,1.064896882,1.490855634
Lagostrophus fasciatus,1.075368018,1.522611803,1.590824599,1.539525656,6.773912885
Lestodon,1.071136412,1.546952714,1.689523212,1.635948856,6.870985193
Macrotis lagotis,1.092676023,1.473140475,1.511646928,1.085317057,0.434126823
Megaladapis edwardsi,1.090702336,1.4986317,1.494061211,1.303046238,4.560661832
Metoreodon profectus,1.085131902,1.478582054,1.484497982,1.108562512,2.327981276
Microtus ochrogaster,1.082705415,1.48356382,1.462149753,1.131742725,1.81078836
Muntiacus muntjack,1.074734446,1.518051219,1.521409682,1.259297957,3.148244893
Rattus norvegicus,1.098678244,1.557305212,1.600543804,2.059797018,11.3288836
Myocastor coypus,1.073430091,1.482398717,1.458583644,1.475287594,4.573391541
Mystromys albicaudatus,1.063356243,1.502375604,1.670279346,1.736027595,7.638521418
Neoparadoxia cecilialina,1.086386344,1.491510401,1.527157504,1.159062831,3.013563361
Brachyuromys betsi,1.119941305,1.617208352,1.675321868,2.159884147,16.1991311
Eliurus myoxi,1.087161046,1.523756805,1.560006145,1.374158985,4.809556448
Pedetes capensis,1.083115281,1.572667433,1.617024768,1.650005795,6.600023178
Pteronarctos goedertae,1.07968198,1.559213916,1.66000922,1.517362408,5.765977149
Ratufa affinis,1.076439333,1.515814942,1.464675985,1.386406178,5.54562471
Rhinolophus acuminatus,1.09372934,1.482080027,1.484385659,1.188913644,2.140044559
Saimiri sciureus,1.103716819,1.531392721,1.490101719,1.20413221,3.251156967
Sigmodon hispidus,1.102721071,1.493891433,1.53722662,2.00062285,17.80554337
Sirenian,1.062827672,1.540942795,1.55063131,1.48649385,4.756780319
Sthenurus andersoni,1.068061973,1.459071154,1.459994599,1.035965409,1.035965409
Tarsius tarsier,1.075450427,1.511652183,1.483214413,1.24856114,6.367661816
Thalassocnus littoralis,1.085113809,1.463528994,1.47610391,1.200590826,1.920945321
Thryonomys swinderianus,1.092300335,1.569173609,1.557059153,1.383640108,4.566012357
Thylacinus cynocephalus,1.099017084,1.626545897,1.82175025,1.998079123,6.793469019
Thylacosmilus sp,1.090350655,1.459022429,1.460908184,1.038538924,0.83083114
Tragelaphus scriptus,1.068515273,1.460341176,1.46193635,1.045026218,1.463036705
