Species,FD_box,FD_madogram,PSD,SI,SCI,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57
Adapis magnus,1.076069295,1.474941159,1.479542547,1.101959087,1.212154996,-0.075089572,0.021738418,-0.009966828,0.005515909,-0.00143256,0.001034206,-0.012022465,0.004574832,-0.001614226,0.000780406,-0.000269845,0.010349336,-0.003144074,0.008030086,-0.001781932,-0.003404264,0.006999725,-0.000541172,0.002099318,-0.005531216,0.002054651,-0.006493167,0.001344069,-0.007269006,0.000534716,-0.000887208,0.00240178,-0.000509261,0.003671437,-0.00542487,0.002300906,-0.001284504,-0.001361494,0.005945248,5.92E-05,0.00070832,-0.001729563,0.005435886,0.001244408,0.001185026,-0.002092787,-0.000906187,-0.001485304,0.000972115,0.000332351,0.0007639,0.000197945,0.000371326,0.000534384,0.000146096,-0.001843031,-0.000382608,-0.000493241,-0.001232366,-0.001410692,-0.000793395,-0.002014393
Adinotherium robustum,1.072859858,1.463564574,1.509389234,1.362128195,2.86046921,-0.160681452,0.030435713,0.147751779,0.025734943,-0.053885804,-0.038797922,-0.033536932,-0.004032775,-0.012332911,-0.006050024,0.005525017,-0.011791612,0.016319898,-0.010738718,0.018171095,-0.011307014,-0.006933236,-0.004189292,0.002495516,-0.003492566,-0.00213706,-0.001588818,0.005944109,-0.007303662,0.000160062,0.00245374,0.000610691,-0.004690162,-0.001719922,-0.000957186,-0.000475334,-0.003865617,-0.004828152,-0.00171007,0.004314006,-0.00010935,0.00261254,0.00333582,0.002110435,-0.001395099,0.003304897,-0.003933752,0.000259392,4.50E-05,-0.003111362,0.000703794,0.000102394,-5.91E-05,0.002624186,0.001959829,0.000649802,0.001030999,-0.000935305,-0.000566268,-0.000127101,-0.000330638,0.001479381
Aepyceros melampus,1.068238647,1.477995844,1.470648929,1.100716024,1.430930831,0.045572353,0.005701084,-0.00446534,0.022948296,0.00792477,0.009476683,-0.003913855,0.009214009,0.002308733,0.002895095,-0.003120806,0.011360748,0.001065877,0.000175284,0.002587559,-0.006726595,0.005206485,-0.003172242,-0.002466293,1.28E-05,0.00169644,-0.000475033,0.001974133,-0.003996062,-0.003234751,-0.001762442,0.001264467,-0.004871037,0.003700631,-0.000346706,0.00375735,-0.003874876,0.000569688,0.000862401,0.001831368,0.003961236,-0.000549125,0.003819914,0.000476287,0.000213106,-0.000418558,0.001655156,0.000578095,-0.000708804,0.003250463,0.00463599,0.002241729,0.001315742,-0.001516009,-0.001548019,0.000786744,6.08E-06,0.000564767,-0.002082426,0.001691671,0.0010284,0.000954032
Agouti paca,1.081003829,1.525471551,1.602294517,1.275019743,1.530023691,-0.23232705,-0.00456852,-0.03722141,-0.003235067,0.004200416,0.024888235,-0.011348688,0.005350648,-0.000920415,-0.006294575,0.005173562,0.004598607,0.010508395,-0.002882504,-0.013902671,-0.009839798,0.001075148,-0.001456893,0.004165957,0.010245244,-0.006929605,-0.004882753,0.014196347,-0.002112221,0.000515336,0.001369769,0.002929129,0.002154468,0.004807719,0.002736736,-0.001998916,0.003876132,0.003365997,0.000998582,-0.004260258,-0.001546992,-0.000561085,-0.000365436,-0.002814614,0.002112825,-0.003373809,0.002290382,-0.001907704,0.001086278,-0.00189051,0.002037544,0.003798795,-0.000884178,0.003025193,0.000635463,-0.000349752,0.000375188,0.000660898,0.001006832,-0.001692695,-0.00040405,0.001207751
Allodesmus gracilis,1.065671322,1.515203143,1.461472793,1.287802683,7.469255564,-0.007887406,0.029335269,0.025602487,0.044317955,0.06196697,-0.011712992,0.000366681,0.063453348,0.012073602,-0.040133197,-0.005571685,0.014403345,-0.023652004,-0.004882397,-0.001494581,-0.000207674,0.017527925,0.010706306,-0.011617084,-0.004456767,-0.004449774,0.006128895,-0.006386443,0.006937247,0.003246167,-0.004819523,-0.002096158,-0.000764809,-0.003992302,0.001188793,-0.001235144,-0.004408804,0.005311562,-0.002286877,0.001660515,-0.001791091,-0.000522348,-0.000280288,-0.000288402,-0.00601453,-0.002732889,-0.000185175,-0.001442261,-0.000412837,-0.001270409,0.000860658,0.000191033,0.000437438,0.00024308,0.001260199,2.69E-05,0.000657217,0.000871762,-0.000389139,-0.000348347,-0.001335892,0.001058574
Antilocapra americana,1.102399335,1.508146862,1.523609298,1.229353787,2.704578332,-0.025717095,-0.079909594,0.006275063,0.013813153,0.000457518,0.032436974,0.007462666,-0.042258022,0.000391219,-0.008327705,-0.051328286,0.008379822,0.002212079,-0.018064226,0.012647262,0.008909627,0.000271336,-0.0080979,0.01030026,-0.006845048,-0.00342322,-0.000363376,-0.016526038,0.003910742,-0.007532387,0.006555488,-0.004730811,-0.004908676,0.005654462,0.000884623,-0.001934175,-0.001590016,0.002574696,0.000793808,-0.002304837,-0.001330167,-0.000483634,0.001422152,0.003753955,-0.000294762,0.000974147,0.003351881,-0.001051707,0.000146397,0.000527933,-0.000743023,-0.001203459,-0.000257941,0.000871885,0.001232088,0.00029465,-0.000658174,0.001307415,-0.000707566,-0.001732755,-7.97E-05,0.000663574
Aotus trivirgatus,1.119827881,1.610237078,1.490449235,4.510910038,87.96274573,-0.072179843,0.022706844,0.004411879,-0.056809189,0.082861462,0.007338275,0.072474145,0.053460342,-0.126384654,0.019162465,-0.003621675,-0.003038189,-0.00899422,-0.005162433,0.016211521,0.007204399,-0.007399204,-0.00526716,0.001142244,0.00370918,-0.002013471,-0.003038903,0.001988984,-0.000335753,-3.44E-05,0.002738387,0.000446658,-0.000560432,-1.00E-05,-0.001077839,-5.57E-05,-0.000134058,-0.000344039,6.82E-05,-0.000387547,-0.000469175,0.000181987,0.000376953,-0.000306107,2.32E-05,2.21E-05,6.59E-05,4.71E-05,-0.00017429,-4.24E-08,0.000107905,-0.000186615,-2.82E-05,-5.74E-05,9.82E-05,9.25E-05,-0.000100038,-0.000105826,-5.45E-05,-1.65E-05,6.64E-05,-2.73E-05
Aplodontia rufa,1.095883124,1.585973226,1.587806882,2.193985983,21.50106263,0.227703459,-0.009388385,-0.083616861,0.098669929,-0.030023863,-0.002988591,-0.002964382,0.016867005,-0.000670815,-0.044346999,-0.005599013,-0.027053603,-0.006310646,-0.012381124,0.005415552,0.011608335,0.004937774,-0.001146821,0.006782723,0.007716859,0.003171774,0.003023582,0.013732328,0.016546565,0.001923739,0.007629714,-0.00970341,-0.001396792,0.00277769,-0.005164081,-0.000449962,0.004074322,-0.003501207,0.004166161,0.004984733,-0.004552373,-0.001602588,0.001556412,-0.001609108,0.001516508,-0.00035818,-0.000499559,0.001986175,-0.000138654,0.001492221,-0.001025841,0.000324379,0.000269815,0.000170407,0.000284669,-0.000189029,0.00059033,-1.20E-05,-0.000336858,0.000476025,1.79E-05,-9.70E-05
Archaelurus debilis,1.06499959,1.460809641,1.461000136,1.047801469,0.628680881,0.012683018,0.015369112,-0.004754018,0.005356532,0.014202833,0.005788548,0.002364233,-0.01170958,0.00025301,0.001505608,-0.004476699,-0.001761389,-0.001509774,0.006223976,-0.00092896,-0.004760233,-0.004574698,-0.001318253,-0.000881277,0.000218448,0.003678048,0.000486729,-0.000834906,0.00160548,0.001932119,0.000743918,-0.001383663,0.003772158,0.003766012,-0.000630494,0.002019432,-0.001511304,0.000779939,-0.001595655,-0.000862201,-0.001084462,-0.000793498,-0.001289867,0.000528631,0.000101137,0.001125004,-0.001132847,0.002128162,0.001047574,2.74E-05,-4.13E-05,0.001614635,6.16E-05,-0.001200379,0.000807062,-0.00076407,-6.07E-06,0.00041182,0.000556162,0.001206383,0.000518059,0.000927778
Archaeohyrax patagonicus,1.099682716,1.532753821,1.505935388,1.361385701,8.985145624,0.018777818,0.006847545,-0.111710616,-0.032016232,0.037844008,-0.011596367,-0.010947729,-0.022749476,0.002957563,0.004579791,-0.041007565,0.024931111,0.009397989,-0.009709645,-0.030339558,0.009023963,-0.026678403,-0.018932148,0.006796705,-0.002440576,-0.009436984,-0.000515984,0.003655544,-0.003484841,0.009098899,-0.0042658,-0.008635652,-0.000254833,-0.006363273,0.000529918,-0.00685954,-0.001988431,-0.000705996,-0.000176107,0.000680259,-0.00099998,-0.000158051,0.002687464,-0.000547358,-0.001107225,-0.001323985,-0.000666463,0.000748457,-0.000643703,-0.000865313,0.001187269,-0.000489386,0.000547402,-0.001193627,-0.000447621,0.000416323,0.000468227,-0.000769563,0.000506443,0.000733749,-0.000820665,-0.000231799
